净值日期,单位净值,累计净值,日增长率,申购状态,赎回状态,分红送配
2010-06-22,1.0,1.0,,封闭期,封闭期,nan
2010-06-25,1.0,1.0,0.0,封闭期,封闭期,nan
2010-06-30,0.997,0.997,-0.3,封闭期,封闭期,nan
2010-07-02,0.995,0.995,-0.2,封闭期,封闭期,nan
2010-07-09,1.001,1.001,0.6,封闭期,封闭期,nan
2010-07-12,1.002,1.002,0.1,开放申购,开放赎回,nan
2010-07-13,1.001,1.001,-0.1,开放申购,开放赎回,nan
2010-07-14,1.001,1.001,0.0,开放申购,开放赎回,nan
2010-07-15,0.998,0.998,-0.3,开放申购,开放赎回,nan
2010-07-16,0.999,0.999,0.1,开放申购,开放赎回,nan
2010-07-19,1.003,1.003,0.4,开放申购,开放赎回,nan
2010-07-20,1.007,1.007,0.4,开放申购,开放赎回,nan
2010-07-21,1.008,1.008,0.1,开放申购,开放赎回,nan
2010-07-22,1.01,1.01,0.2,开放申购,开放赎回,nan
2010-07-23,1.011,1.011,0.1,开放申购,开放赎回,nan
2010-07-26,1.013,1.013,0.2,开放申购,开放赎回,nan
2010-07-27,1.013,1.013,0.0,开放申购,开放赎回,nan
2010-07-28,1.021,1.021,0.79,开放申购,开放赎回,nan
2010-07-29,1.021,1.021,0.0,开放申购,开放赎回,nan
2010-07-30,1.022,1.022,0.1,开放申购,开放赎回,nan
2010-08-02,1.03,1.03,0.78,开放申购,开放赎回,nan
2010-08-03,1.022,1.022,-0.78,开放申购,开放赎回,nan
2010-08-04,1.024,1.024,0.2,开放申购,开放赎回,nan
2010-08-05,1.024,1.024,0.0,开放申购,开放赎回,nan
2010-08-06,1.033,1.033,0.88,开放申购,开放赎回,nan
2010-08-09,1.039,1.039,0.58,开放申购,开放赎回,nan
2010-08-10,1.021,1.021,-1.73,开放申购,开放赎回,nan
2010-08-11,1.025,1.025,0.39,开放申购,开放赎回,nan
2010-08-12,1.015,1.015,-0.98,开放申购,开放赎回,nan
2010-08-13,1.026,1.026,1.08,开放申购,开放赎回,nan
2010-08-16,1.043,1.043,1.66,开放申购,开放赎回,nan
2010-08-17,1.049,1.049,0.58,开放申购,开放赎回,nan
2010-08-18,1.049,1.049,0.0,开放申购,开放赎回,nan
2010-08-19,1.05,1.05,0.1,开放申购,开放赎回,nan
2010-08-20,1.033,1.033,-1.62,开放申购,开放赎回,nan
2010-08-23,1.036,1.036,0.29,开放申购,开放赎回,nan
2010-08-24,1.044,1.044,0.77,开放申购,开放赎回,nan
2010-08-25,1.027,1.027,-1.63,开放申购,开放赎回,nan
2010-08-26,1.03,1.03,0.29,开放申购,开放赎回,nan
2010-08-27,1.034,1.034,0.39,开放申购,开放赎回,nan
2010-08-30,1.055,1.055,2.03,开放申购,开放赎回,nan
2010-08-31,1.056,1.056,0.09,开放申购,开放赎回,nan
2010-09-01,1.048,1.048,-0.76,开放申购,开放赎回,nan
2010-09-02,1.06,1.06,1.15,开放申购,开放赎回,nan
2010-09-03,1.064,1.064,0.38,开放申购,开放赎回,nan
2010-09-06,1.074,1.074,0.94,开放申购,开放赎回,nan
2010-09-07,1.078,1.078,0.37,开放申购,开放赎回,nan
2010-09-08,1.084,1.084,0.56,开放申购,开放赎回,nan
2010-09-09,1.066,1.066,-1.66,开放申购,开放赎回,nan
2010-09-10,1.077,1.077,1.03,开放申购,开放赎回,nan
2010-09-13,1.093,1.093,1.49,开放申购,开放赎回,nan
2010-09-14,1.093,1.093,0.0,开放申购,开放赎回,nan
2010-09-15,1.074,1.074,-1.74,开放申购,开放赎回,nan
2010-09-16,1.05,1.05,-2.23,开放申购,开放赎回,nan
2010-09-17,1.054,1.054,0.38,开放申购,开放赎回,nan
2010-09-20,1.045,1.045,-0.85,开放申购,开放赎回,nan
2010-09-21,1.049,1.049,0.38,开放申购,开放赎回,nan
2010-09-27,1.071,1.071,2.1,开放申购,开放赎回,nan
2010-09-28,1.062,1.062,-0.84,开放申购,开放赎回,nan
2010-09-29,1.054,1.054,-0.75,开放申购,开放赎回,nan
2010-09-30,1.075,1.075,1.99,开放申购,开放赎回,nan
2010-10-08,1.113,1.113,3.53,开放申购,开放赎回,nan
2010-10-11,1.133,1.133,1.8,开放申购,开放赎回,nan
2010-10-12,1.146,1.146,1.15,开放申购,开放赎回,nan
2010-10-13,1.158,1.158,1.05,开放申购,开放赎回,nan
2010-10-14,1.141,1.141,-1.47,开放申购,开放赎回,nan
2010-10-15,1.162,1.162,1.84,开放申购,开放赎回,nan
2010-10-18,1.153,1.153,-0.77,开放申购,开放赎回,nan
2010-10-19,1.183,1.183,2.6,开放申购,开放赎回,nan
2010-10-20,1.199,1.199,1.35,开放申购,开放赎回,nan
2010-10-21,1.202,1.202,0.25,开放申购,开放赎回,nan
2010-10-22,1.212,1.212,0.83,开放申购,开放赎回,nan
2010-10-25,1.251,1.251,3.22,开放申购,开放赎回,nan
2010-10-26,1.248,1.248,-0.24,开放申购,开放赎回,nan
2010-10-27,1.228,1.228,-1.6,开放申购,开放赎回,nan
2010-10-28,1.226,1.226,-0.16,开放申购,开放赎回,nan
2010-10-29,1.227,1.227,0.08,开放申购,开放赎回,nan
2010-11-01,1.261,1.261,2.77,开放申购,开放赎回,nan
2010-11-02,1.25,1.25,-0.87,开放申购,开放赎回,nan
2010-11-03,1.227,1.227,-1.84,开放申购,开放赎回,nan
2010-11-04,1.252,1.252,2.04,开放申购,开放赎回,nan
2010-11-05,1.262,1.262,0.8,开放申购,开放赎回,nan
2010-11-08,1.274,1.274,0.95,开放申购,开放赎回,nan
2010-11-09,1.275,1.275,0.08,开放申购,开放赎回,nan
2010-11-10,1.278,1.278,0.24,开放申购,开放赎回,nan
2010-11-11,1.274,1.274,-0.31,开放申购,开放赎回,nan
2010-11-12,1.192,1.192,-6.44,开放申购,开放赎回,nan
2010-11-15,1.209,1.209,1.43,开放申购,开放赎回,nan
2010-11-16,1.157,1.157,-4.3,开放申购,开放赎回,nan
2010-11-17,1.118,1.118,-3.37,开放申购,开放赎回,nan
2010-11-18,1.14,1.14,1.97,开放申购,开放赎回,nan
2010-11-19,1.159,1.159,1.67,开放申购,开放赎回,nan
2010-11-22,1.163,1.163,0.35,开放申购,开放赎回,nan
2010-11-23,1.144,1.144,-1.63,开放申购,开放赎回,nan
2010-11-24,1.178,1.178,2.97,开放申购,开放赎回,nan
2010-11-25,1.193,1.193,1.27,开放申购,开放赎回,nan
2010-11-26,1.184,1.184,-0.75,开放申购,开放赎回,nan
2010-11-29,1.183,1.183,-0.08,开放申购,开放赎回,nan
