"编号","名称","日期","净值","名称","recent1Week","recent3Month","recent6Month","recent1Year","recent2Year","recent3Year","fromThisYear","fromBuild","serviceCharge"
"980003","太平洋六个月滚动持有债","2020-12-04","1.4240","-0.01","0.06","0.96","2.12","","","","","1.92",""
"970005","安信瑞鸿中短债C","2020-12-04","1.0253","0.00","0.12","-0.02","0.22","","","","","0.22",""
"970004","安信瑞鸿中短债B","2020-12-04","1.0270","0.00","0.13","0.07","0.37","","","","","0.38",""
"952024","国泰君安君得盛债券","2020-12-04","1.1448","0.32","0.74","1.04","3.07","3.75","","","3.12","4.00",""
"920927","中金恒瑞债券C","2020-12-04","1.0690","0.02","0.06","-0.45","1.56","","","","","1.56",""
"920007","中金恒瑞债券A","2020-12-04","1.0686","0.03","0.07","-0.35","1.47","","","","","1.40",""
"900039","中信证券六个月债券C","2020-12-04","1.0327","0.00","0.16","0.05","-0.24","2.26","","","1.95","3.27",""
"900019","中信证券六个月债券A","2020-12-04","1.0304","0.01","0.16","-0.01","-0.38","2.03","","","1.73","3.07",""
"872017","广发资管昭利中短债C","2020-12-04","1.0088","0.02","0.14","0.64","0.89","","","","","0.88",""
"872016","广发资管昭利中短债B","2020-12-04","1.0100","0.02","0.14","0.70","1.01","","","","","1.00",""
"872015","广发资管昭利中短债A","2020-12-04","1.0102","0.02","0.14","0.69","1.01","","","","","1.02",""
"872014","广发乾利一年持有期债券C","2020-12-04","1.0406","0.01","0.12","0.47","1.37","3.41","","","3.09","3.52",""
"870008","广发乾利一年持有期债券A","2020-12-04","1.0440","0.01","0.12","0.55","1.53","3.73","","","3.38","3.88",""
"860012","光大阳光稳债收益12个月持有债券A","2020-12-04","1.0027","0.00","0.09","0.26","","","","","","0.27",""
"860005","光大阳光添利债券A","2020-12-04","2.3378","0.02","0.32","2.19","4.73","7.27","","","6.69","6.83",""
"750003","安信目标收益债券C","2020-12-04","1.0840","0.00","0.09","0.56","0.09","3.24","8.62","14.93","1.98","52.34",""
"750002","安信目标收益债券A","2020-12-04","1.0990","0.00","0.18","0.64","0.27","3.68","9.53","16.38","2.33","57.86",""
"720003","财通收益增强债券A","2020-12-04","1.2369","0.66","1.64","1.44","11.78","16.25","19.00","19.68","15.50","47.07",""
"720002","财通可转债债券A","2020-12-04","1.0300","0.46","0.70","0.08","5.65","13.58","16.87","17.11","10.59","42.97",""
"710302","富安达增强收益债券C","2020-12-04","1.4190","0.14","1.00","-3.91","12.07","28.38","45.18","29.66","18.17","44.69",""
"710301","富安达增强收益债券A","2020-12-04","1.4692","0.14","1.00","-3.81","12.32","28.96","46.38","31.25","18.67","49.80",""
"700006","平安添利债券C","2020-12-04","1.3141","0.02","0.14","0.45","-0.05","2.22","6.92","13.54","1.81","55.44",""
"700005","平安添利债券A","2020-12-04","1.3591","0.01","0.15","0.55","0.15","2.62","7.82","14.99","2.19","60.99",""
"690206","民生加银信用双利债券C","2020-12-04","1.6610","0.12","0.48","0.12","8.42","11.40","17.55","9.56","7.72","70.90",""
"690202","民生增强收益债券C","2020-12-04","1.5220","0.13","0.46","0.33","5.11","10.34","26.70","19.69","8.25","141.80",""
"690012","民生加银丰鑫债券","2020-12-04","1.0098","0.02","0.16","0.73","0.46","","","","","0.98",""
"690006","民生加银信用双利债券A","2020-12-04","1.7200","0.12","0.47","0.17","8.65","11.76","18.38","10.82","8.04","76.94",""
"690002","民生增强收益债券A","2020-12-04","1.5430","0.13","0.46","0.39","5.25","10.73","27.50","20.41","8.59","151.52",""
"686869","浙商聚盈纯债C","2020-12-04","1.0380","0.02","0.18","0.65","-0.33","2.03","6.33","14.85","1.54","36.81",""
"686868","浙商聚盈纯债A","2020-12-04","1.0420","0.02","0.19","0.71","-0.22","2.24","6.71","15.44","1.74","40.30",""
"675163","西部利得汇盈债券C","2020-12-04","1.0653","0.02","0.13","0.73","1.26","4.73","8.20","","4.06","11.11",""
"675161","西部利得汇盈债券A","2020-12-04","1.0728","0.02","0.14","0.75","1.32","4.94","8.45","","4.16","11.48",""
"675123","西部汇逸债券C","2020-12-04","1.1526","0.02","0.08","0.23","-0.21","1.19","5.70","11.56","0.83","15.26",""
"675121","西部汇逸债券A","2020-12-04","1.0003","0.02","0.08","0.25","-0.17","1.25","5.35","11.22","0.91","8.95",""
"675113","西部利得汇享债券C","2020-12-04","1.0892","0.05","0.22","0.38","1.60","5.66","14.34","23.82","4.41","25.98",""
"675111","西部利得汇享债券A","2020-12-04","1.0926","0.05","0.22","0.40","1.65","5.77","14.82","24.47","4.51","26.92",""
"675100","西部利得得尊纯债A","2020-12-04","1.1898","0.03","0.14","0.35","1.31","4.99","11.78","15.96","4.24","18.98",""
"675093","西部利得祥逸债券C","2020-12-04","1.0232","0.05","0.24","2.35","2.02","2.94","3.69","8.22","2.69","6.78",""
"675091","西部利得祥逸债券A","2020-12-04","1.0586","0.05","0.24","0.68","0.37","1.32","0.78","8.97","1.08","11.38",""
"675083","西部利得祥盈债券C","2020-12-04","1.2762","0.25","0.38","0.24","4.65","11.38","20.33","27.24","6.59","27.62",""
"675081","西部利得祥盈债券A","2020-12-04","1.3211","0.24","0.37","0.26","4.70","11.49","21.31","29.04","6.68","32.11",""
"675053","西部利得合赢债券C","2020-12-04","1.0564","0.06","0.23","0.68","0.24","2.41","1.09","6.38","2.00","10.06",""
"675051","西部利得合赢债券A","2020-12-04","1.1212","0.05","0.23","0.69","0.26","2.49","2.74","8.18","2.05","12.12",""
"675043","西部利得合享C","2020-12-04","1.0710","0.03","0.20","0.69","0.15","3.37","7.55","14.82","2.70","32.53",""
"675041","西部利得合享A","2020-12-04","1.0398","0.02","0.18","0.69","0.16","3.42","7.64","14.96","2.75","18.43",""
"675013","西部利得稳健双利债券C","2020-12-04","1.3060","0.62","0.38","-4.88","14.66","19.93","29.31","35.22","17.55","46.99",""
"675011","西部利得稳健双利债券A","2020-12-04","1.3210","0.61","0.38","-4.83","14.77","20.42","30.40","37.42","17.95","52.67",""
"660109","农银增强收益债券C","2020-12-04","1.6777","-0.07","0.37","-0.12","4.22","9.51","13.33","18.36","7.51","78.27",""
"660102","农银恒久增利债券C","2020-12-04","1.2733","0.01","0.15","0.66","0.22","2.42","6.79","12.21","1.66","59.35",""
"660016","农银汇理金聚高等级债券","2020-12-04","1.0044","0.03","0.23","0.56","","","","","","0.44",""
"660013","农银信用添利债券","2020-12-04","1.0688","0.02","0.11","0.21","-0.07","1.82","5.67","11.42","0.46","52.09",""
"660009","农银增强收益债券A","2020-12-04","1.7338","-0.07","0.38","-0.06","4.37","9.83","14.04","19.45","7.80","84.14",""
"660002","农银恒久增利债券A","2020-12-04","1.3033","0.01","0.15","0.74","0.37","2.73","7.43","13.24","1.94","86.75",""
"650002","英大纯债债券C","2020-12-04","1.1351","0.04","0.17","0.75","0.06","3.13","6.50","13.38","2.59","42.53",""
"650001","英大纯债债券A","2020-12-04","1.1584","0.04","0.17","0.82","0.21","3.45","7.15","14.55","2.87","49.51",""
"630109","华商稳定增利债券C","2020-12-04","1.5950","0.00","-0.37","3.98","12.48","19.74","31.28","26.11","14.17","100.27",""
"630107","华商稳健双利债券B","2020-12-04","1.6560","-0.06","-0.24","1.28","7.67","13.81","22.21","12.20","8.24","73.94",""
"630103","华商收益增强债券B","2020-12-04","1.1490","0.00","-0.17","2.41","6.88","0.00","0.17","-6.28","2.32","71.45",""
"630009","华商稳定增利债券A","2020-12-04","1.6640","0.00","-0.36","4.07","12.74","20.23","32.48","27.75","14.60","109.00",""
"630007","华商稳健双利债券A","2020-12-04","1.7220","-0.06","-0.23","1.41","7.89","14.27","23.26","13.59","8.71","81.94",""
"630003","华商收益增强债券A","2020-12-04","1.1930","0.00","-0.17","2.49","7.09","0.34","0.93","-5.09","2.67","80.50",""
"620009","金元顺安丰祥债券","2020-12-04","1.1680","-0.09","0.09","0.26","2.64","4.75","11.56","13.73","2.82","39.62",""
"620003","金元顺安丰利债券","2020-12-04","1.1430","0.00","0.35","-0.09","3.44","6.03","12.26","12.06","4.00","48.49",""
"610108","信达澳银信用债债券C","2020-12-04","1.1290","0.09","0.36","0.09","4.23","8.53","21.27","16.73","4.14","34.36",""
"610103","信达澳银稳定价值债券B","2020-12-04","1.0090","0.00","0.10","0.60","-0.20","0.70","0.79","5.53","0.50","58.29",""
"610008","信达澳银信用债债券A","2020-12-04","1.1480","0.09","0.35","0.09","4.38","8.78","21.70","17.56","4.38","38.37",""
"610003","信达澳银稳定价值债券A","2020-12-04","1.0200","0.00","0.10","0.59","-0.10","1.09","1.87","7.04","0.89","66.94",""
"590010","中邮稳定收益债券C","2020-12-04","1.0710","-0.09","0.00","0.19","0.09","2.50","6.36","12.79","2.03","53.21",""
"590009","中邮稳定收益债券A","2020-12-04","1.0750","0.00","0.09","0.28","0.28","2.96","7.22","14.00","2.40","57.28",""
"573003","诺德增强收益债券","2020-12-04","1.0280","0.00","0.19","0.98","0.29","3.30","4.79","11.72","2.76","19.72",""
"550019","信诚优质纯债债券B","2020-12-04","1.1770","0.00","0.17","0.43","0.34","5.09","11.35","16.64","3.52","56.75",""
"550018","信诚优质纯债债券A","2020-12-04","1.1910","0.00","0.25","0.59","0.59","5.68","12.68","18.62","4.02","63.73",""
"550013","中信保诚景华债券C","2020-12-04","1.0052","0.01","0.14","0.39","0.22","","","","","0.52",""
"550012","中信保诚景华债券A","2020-12-04","1.0073","0.01","0.14","0.43","0.28","","","","","0.73",""
"550005","信诚三得益债券B","2020-12-04","1.1940","0.42","1.02","0.51","7.14","10.62","15.01","20.01","9.16","88.10",""
"550004","信诚三得益债券A","2020-12-04","1.2190","0.49","0.99","0.58","7.45","11.04","16.05","21.53","9.62","98.73",""
"541005","汇丰晋信平稳增利中短债C","2020-12-04","1.1164","0.01","0.09","0.40","0.14","2.30","5.59","11.50","2.01","35.91",""
"540005","汇丰晋信平稳增利中短债A","2020-12-04","1.1166","0.02","0.11","0.48","0.31","2.61","6.27","12.63","2.29","36.97",""
"531028","建信短债债券A","2020-12-04","1.0197","0.01","0.11","0.46","0.93","","","","","1.97",""
"531021","建信纯债债券C","2020-12-04","1.3796","0.02","0.12","0.33","0.12","2.89","6.70","15.35","2.58","37.96",""
"531020","建信转债增强债券C","2020-12-04","2.7180","-0.18","-0.22","-3.58","12.36","19.00","28.21","18.33","12.22","171.80",""
"531017","建信双息红利债券C","2020-12-04","1.0810","0.00","-0.09","-2.10","-0.27","2.88","7.90","7.90","1.60","51.72",""
"531009","建信收益增强债券C","2020-12-04","1.6680","0.42","0.66","-0.83","5.10","8.24","9.95","7.96","5.97","85.96",""
"531008","建信稳定增利债券A","2020-12-04","1.8650","0.05","0.27","0.43","1.08","3.49","7.18","15.32","2.75","46.32",""
"530028","建信短债债券C","2020-12-04","1.0187","0.01","0.10","0.43","0.88","","","","","1.87",""
"530021","建信纯债债券A","2020-12-04","1.4225","0.02","0.13","0.42","0.30","3.25","7.44","16.60","2.91","42.25",""
"530020","建信转债增强债券A","2020-12-04","2.8040","-0.18","-0.25","-3.51","12.57","19.47","29.16","19.62","12.61","180.40",""
"530017","建信双息红利债券A","2020-12-04","1.1210","0.00","-0.09","-2.03","-0.14","3.20","8.60","8.99","1.89","90.20",""
"530009","建信收益增强债券A","2020-12-04","1.7470","0.40","0.69","-0.74","5.37","8.64","10.78","9.26","6.39","94.47",""
"530008","建信稳定增利债券C","2020-12-04","1.8100","0.06","0.28","0.33","0.89","3.07","6.34","13.96","2.38","128.92",""
"519989","长信利丰债券C","2020-12-04","1.4920","-0.07","0.13","0.67","7.19","12.49","18.63","16.02","10.70","145.47",""
"519985","长信纯债壹号债券A","2020-12-04","1.1143","0.01","0.10","0.33","0.34","2.68","6.79","12.57","2.29","54.75",""
"519977","长信可转债债券A","2020-12-04","1.7061","0.02","0.68","0.15","16.20","25.63","40.28","37.74","19.27","230.33",""
"519976","长信可转债债券C","2020-12-04","1.6527","0.02","0.68","0.07","16.00","25.19","39.02","35.91","18.88","210.06",""
"519967","长信利富债券","2020-12-04","1.3174","0.36","1.31","0.00","13.18","26.36","36.94","33.38","19.20","31.74",""
"519947","长信利保债券A","2020-12-04","1.0046","0.01","-0.09","-0.60","-0.25","1.66","8.85","7.10","1.34","0.46",""
"519943","长信利率A","2020-12-04","1.1522","0.03","0.20","0.63","-0.02","2.70","8.83","16.37","2.06","18.45",""
"519942","长信利率C","2020-12-04","1.1359","0.04","0.19","0.53","-0.21","2.30","7.98","15.00","1.70","16.35",""
"519933","长信利发债券","2020-12-04","1.2155","0.46","0.82","0.34","6.93","14.81","38.19","40.03","12.78","39.86",""
"519785","交银境尚收益债券C","2020-12-04","1.0063","0.02","0.12","0.49","-0.09","2.96","5.64","13.03","2.13","13.14",""
"519784","交银境尚收益债券A","2020-12-04","1.0104","0.02","0.13","0.64","0.19","3.58","6.93","15.10","2.69","15.73",""
"519783","交银裕隆纯债债券C","2020-12-04","1.1960","0.00","0.18","0.11","-0.18","2.79","8.02","16.66","2.40","19.60",""
"519782","交银裕隆纯债债券A","2020-12-04","1.2072","0.00","0.19","0.22","0.02","3.21","8.90","17.08","2.78","20.72",""
"519777","交银裕盈纯债债券C","2020-12-04","1.1535","0.03","0.18","0.53","-0.21","1.88","4.96","13.65","1.47","15.35",""
"519776","交银裕盈纯债债券A","2020-12-04","1.1038","0.03","0.19","0.63","0.00","2.30","5.72","13.50","1.85","15.66",""
"519753","交银安心收益债券","2020-12-04","1.0963","-0.12","0.05","-0.13","3.82","5.01","7.27","10.18","3.91","9.63",""
"519748","交银丰享收益债券C","2020-12-04","1.0917","-0.01","0.21","0.06","-0.30","2.00","5.32","9.15","1.63","26.05",""
"519746","交银丰享收益债券A","2020-12-04","2.0805","-0.01","0.22","0.16","-0.13","2.37","6.20","10.53","2.03","121.82",""
"519745","交银丰润收益债券C","2020-12-04","1.0797","0.06","0.19","0.67","-0.30","1.76","5.34","10.38","1.22","22.54",""
"519743","交银丰润收益债券A/B","2020-12-04","1.0080","0.05","0.20","0.77","-0.11","2.16","6.16","12.13","1.60","30.17",""
"519740","交银丰盈收益债券A","2020-12-04","1.0264","0.04","0.22","0.72","0.14","2.09","4.20","7.23","1.24","31.03",""
"519735","交银强化回报债券C","2020-12-04","1.0569","0.18","0.48","-4.91","-2.23","0.56","8.18","4.96","-1.59","26.41",""
"519733","交银强化回报债券A/B","2020-12-04","1.0768","0.19","0.48","-4.83","-2.02","0.92","8.99","6.40","-1.21","29.95",""
"519731","交银定期支付月月丰债券C","2020-12-04","1.5253","0.15","0.11","-1.66","1.42","4.33","13.24","10.77","2.51","52.53",""
"519730","交银定期支付月月丰债券A","2020-12-04","1.5721","0.15","0.12","-1.57","1.62","4.74","14.09","12.13","2.89","57.21",""
"519729","交银增强收益债券","2020-12-04","1.4190","0.14","0.14","-1.60","1.00","4.03","13.16","10.95","2.09","59.66",""
"519726","交银稳固收益债券","2020-12-04","1.1213","0.12","-0.13","-2.66","-0.24","2.40","5.29","10.91","0.84","57.68",""
"519725","交银双轮动债券C","2020-12-04","1.0485","0.01","0.12","-0.05","-0.51","1.25","4.90","12.92","1.07","36.46",""
"519723","交银双轮动债券A/B","2020-12-04","1.0521","0.00","0.13","0.04","-0.36","1.68","5.83","14.35","1.50","41.53",""
"519720","交银纯债债券发起C","2020-12-04","1.0641","0.01","0.19","0.04","-0.54","2.17","6.74","15.75","1.88","32.92",""
"519718","交银纯债债券发起A","2020-12-04","1.0618","0.01","0.20","0.10","-0.38","2.60","7.55","17.10","2.22","37.89",""
"519717","交银施罗德中高等级信用债","2020-12-04","1.0073","0.02","0.18","0.64","","","","","","0.73",""
"519685","交银双利债券C","2020-12-04","1.2329","0.02","0.02","-2.34","-0.49","6.28","8.72","7.77","3.43","63.50",""
"519683","交银双利债券A/B","2020-12-04","1.2829","0.02","0.02","-2.24","-0.32","6.73","9.56","9.09","3.79","70.03",""
"519682","交银增利债券C","2020-12-04","1.0065","0.02","0.28","-0.16","1.79","4.09","9.97","18.31","3.32","94.87",""
"519680","交银增利债券A/B","2020-12-04","1.0082","0.02","0.28","-0.06","1.99","4.50","10.85","19.76","3.70","105.70",""
"519676","银河强化债券","2020-12-04","1.1180","0.00","0.36","0.75","4.77","8.62","13.28","18.72","6.71","92.71",""
"519675","银河泰利纯债A","2020-12-04","1.0287","0.00","0.08","0.51","-0.01","2.64","5.21","7.38","2.03","57.60",""
"519669","银河领先债券","2020-12-04","1.1590","-0.09","0.09","0.43","1.67","4.98","8.36","15.79","3.67","65.14",""
"519667","银河银信添利债券A","2020-12-04","1.0527","-0.01","0.11","0.21","3.37","8.60","13.35","20.79","6.97","95.24",""
"519666","银河银信添利债券B","2020-12-04","1.0507","-0.01","0.10","0.10","3.17","8.16","12.44","19.29","6.57","109.17",""
"519661","银河增利债券C","2020-12-04","1.5150","0.07","0.53","-1.62","3.91","6.39","11.42","15.99","4.77","83.73",""
"519660","银河增利债券A","2020-12-04","1.5470","0.06","0.52","-1.53","4.11","6.84","12.29","17.41","5.10","88.21",""
"519654","银河丰利纯债债券","2020-12-04","1.0279","0.05","0.18","0.85","0.09","3.27","6.71","10.52","2.56","12.04",""
"519622","银河君怡债券","2020-12-04","1.0376","0.02","0.14","0.52","0.27","2.59","6.60","11.88","2.16","15.49",""
"519519","华泰柏瑞稳本增利债券A","2020-12-04","1.0518","0.01","0.12","-0.09","-0.68","1.46","5.65","12.66","1.12","66.20",""
"519226","海富通瑞利债券","2020-12-04","1.0801","0.01","0.11","0.49","0.31","2.27","5.99","11.50","1.97","14.76",""
"519225","海富通集利债券","2020-12-04","0.9951","0.02","0.06","0.38","0.35","1.25","4.11","-0.68","0.92","-0.49",""
"519220","海富通聚利债券","2020-12-04","1.0740","0.02","0.14","0.55","0.34","2.26","6.19","11.66","1.96","14.91",""
"519209","万家3-5年政金债纯债C","2020-12-04","1.0287","0.10","0.24","1.22","0.54","3.82","6.80","12.24","3.16","10.76",""
"519208","万家3-5年政金债纯债A","2020-12-04","1.0360","0.10","0.25","1.25","0.62","4.02","7.34","13.45","3.35","12.52",""
"519199","万家家享中短债A","2020-12-04","1.0612","0.03","0.14","0.19","-0.96","1.24","3.90","9.29","0.94","11.29",""
"519190","万家双利债券","2020-12-04","1.3212","-0.13","0.20","2.36","6.65","10.12","19.80","17.36","7.21","40.91",""
"519189","万家信用恒利债券C","2020-12-04","1.1771","0.01","0.17","0.50","0.57","3.12","7.36","13.42","2.73","40.48",""
"519188","万家信用恒利债券A","2020-12-04","1.1921","0.02","0.18","0.60","0.78","3.54","8.20","14.66","3.11","45.63",""
"519187","万家稳健增利债券C","2020-12-04","1.1244","-0.08","0.15","0.34","0.45","3.73","7.78","12.56","2.70","77.82",""
"519186","万家稳健增利债券A","2020-12-04","1.1349","-0.08","0.16","0.44","0.65","4.15","8.64","13.90","3.09","85.68",""
"519163","新华增怡债券C","2020-12-04","1.2596","-0.20","-0.24","1.12","1.21","0.66","6.72","5.23","-0.57","51.77",""
"519162","新华增怡债券A","2020-12-04","1.2368","-0.19","-0.23","1.23","1.41","1.05","7.58","6.53","-0.20","49.18",""
"519153","新华纯债添利债券发起C","2020-12-04","1.1967","0.01","0.07","0.41","0.94","2.54","6.31","10.60","2.28","49.54",""
"519152","新华纯债添利债券发起A","2020-12-04","1.2304","0.01","0.08","0.51","1.15","2.96","7.11","11.75","2.62","54.00",""
"519137","海富通瑞福债券","2020-12-04","1.0485","0.01","0.13","0.21","0.03","3.95","3.15","7.91","3.17","8.51",""
"519136","海富通瑞丰债券型","2020-12-04","1.0902","0.06","0.26","0.63","-0.16","2.85","7.50","12.95","2.43","13.48",""
"519112","浦银安盛优化收益债券C","2020-12-04","1.3780","0.00","0.07","0.51","-0.29","2.15","6.66","3.23","1.85","59.01",""
"519111","浦银安盛优化收益债券A","2020-12-04","1.4270","0.00","0.07","0.56","-0.14","2.59","7.44","4.30","2.15","65.97",""
"519078","汇添富增强收益债券A","2020-12-04","1.1990","0.08","0.17","0.08","-0.25","1.59","6.24","10.44","1.17","80.80",""
"519061","海富通纯债债券A","2020-12-04","1.1840","0.17","0.68","-0.84","1.63","1.56","3.89","11.02","-1.00","149.81",""
"519060","海富通纯债债券C","2020-12-04","1.1730","0.17","0.60","-0.93","1.47","1.15","3.13","9.82","-1.33","143.39",""
"519059","海富通可转债优选","2020-12-04","0.8300","-0.22","1.40","-2.49","6.48","5.71","2.47","1.72","1.95","22.35",""
"519030","海富通稳固收益债券","2020-12-04","1.2210","0.08","0.49","1.16","6.17","8.26","17.04","24.00","6.73","80.71",""
"519024","海富通稳健添利债券A","2020-12-04","1.2490","0.00","0.40","-0.48","1.71","4.96","3.74","10.00","2.71","51.70",""
"519023","海富通稳健添利债券C","2020-12-04","1.2130","0.00","0.33","-0.57","1.51","4.66","3.50","9.53","2.45","52.36",""
"510080","长盛全债指数增强债券","2020-12-04","1.3570","0.27","0.99","-0.54","7.89","14.11","22.50","20.90","11.45","292.25",""
"501105","建信金融债8-10年(LOF)","2020-12-04","1.1857","0.11","0.19","1.18","-0.56","2.53","5.84","17.86","1.95","18.56",""
"485122","工银尊益中短债C","2020-12-04","1.0078","0.00","0.23","0.54","","","","","","0.78",""
"485120","工银14天理财债券发起A","2020-12-04","1.0108","0.02","0.12","0.59","","","","","","1.08",""
"485119","工银信用纯债债券A","2020-12-04","1.2267","0.05","0.12","-4.95","-4.34","-1.88","1.20","8.46","-2.13","27.09",""
"485118","工银7天理财债券A","2020-12-04","1.0182","0.01","0.10","0.55","0.93","","","","","1.82",""
"485114","工银添颐债券A","2020-12-04","2.3690","0.13","0.42","1.94","10.19","13.24","17.69","15.28","10.34","136.90",""
"485111","工银瑞信双利债券A","2020-12-04","1.6630","0.00","0.42","1.96","3.42","6.95","15.24","27.24","6.13","115.04",""
"485107","工银添利债券A","2020-12-04","1.2857","-0.30","-0.60","-1.86","-1.12","2.44","6.62","14.56","0.48","105.63",""
"485105","工银增强收益债券A","2020-12-04","1.2186","0.04","0.29","2.09","8.64","12.13","12.95","14.04","8.72","137.83",""
"485022","工银尊益中短债F","","","","0.09","1.03","2.09","3.89","7.28","12.69","3.89","24.03",""
"485020","工银14天理财债券发起B","2020-12-04","1.0126","0.01","0.13","0.66","","","","","","1.26",""
"485019","工银信用纯债债券B","2020-12-04","1.1898","0.05","0.12","-5.04","-4.53","-2.26","0.38","7.09","-2.48","22.79",""
"485018","工银7天理财债券B","2020-11-02","1.0183","0.02","0.04","0.62","0.84","","","","","1.83",""
"485014","工银添颐债券B","2020-12-04","2.2380","0.13","0.45","1.87","10.03","12.80","16.68","13.84","9.98","123.80",""
"485011","工银瑞信双利债券B","2020-12-04","1.6200","0.00","0.43","1.89","3.18","6.51","14.40","25.91","5.74","106.37",""
"485007","工银添利债券B","2020-12-04","1.2610","-0.30","-0.60","-1.95","-1.31","2.03","5.83","13.35","0.11","95.87",""
"485005","工银增强收益债券B","2020-12-04","1.2035","0.04","0.28","1.98","8.42","11.68","12.05","12.68","8.32","125.44",""
"472007","汇添富利率债","2020-12-04","1.0052","0.02","0.11","0.28","0.32","","","","1.46","1.58",""
"471060","汇添富理财60天债券B","","","","0.05","0.15","1.04","2.44","","","1.42","3.51",""
"471014","汇添富理财14天债券B","2020-12-04","1.0345","0.01","0.07","0.34","2.26","","","","3.20","3.45",""
"470078","汇添富增强收益债券C","2020-12-04","1.1540","0.09","0.17","0.00","-0.43","1.12","5.36","9.27","0.78","58.99",""
"470060","汇添富理财60天债券A","2020-12-04","1.0360","0.01","0.07","0.47","0.73","2.01","","","1.78","3.60",""
"470059","汇添富可转换债券C","2020-12-04","1.6710","0.30","0.54","-3.13","14.37","24.24","50.92","43.44","17.51","108.74",""
"470058","汇添富可转换债券A","2020-12-04","1.7430","0.29","0.58","-3.06","14.60","24.68","52.17","45.17","17.93","116.47",""
"470030","汇添富鑫禧债券","2020-12-04","1.0039","0.02","0.12","0.62","","","","","","0.71",""
"470018","汇添富双利债券A","2020-12-04","1.9470","0.26","0.52","1.30","6.92","13.33","29.89","28.01","10.88","94.70",""
