"编号","名称","日期","净值","名称","recent1Week","recent3Month","recent6Month","recent1Year","recent2Year","recent3Year","fromThisYear","fromBuild","serviceCharge"
"740101","长安沪深300非周期","2020-12-04","1.6220","0.81","2.53","4.24","31.23","47.59","81.43","43.79","39.95","148.97",""
"700002","平安深证300指数增强","2020-12-04","2.5720","0.47","2.76","5.02","31.63","55.69","103.80","47.39","45.97","177.06",""
"690008","民生中证内地资源主题指数","2020-12-04","0.7370","1.66","0.00","14.62","31.37","24.07","20.82","-8.79","13.73","-26.30",""
"673101","西部利得沪深300指数增强C","2020-12-04","1.9961","0.41","2.10","9.77","38.35","60.79","","","50.46","115.77",""
"673100","西部利得沪深300指数增强A","2020-12-04","2.0064","0.41","2.11","9.87","38.64","61.47","101.04","82.94","51.02","122.53",""
"660011","农银中证500指数","2020-12-04","1.6168","0.38","1.70","-2.94","14.51","28.72","39.10","1.76","20.86","61.68",""
"660008","农银沪深300指数A","2020-12-04","1.7788","0.16","1.63","5.97","28.54","33.18","59.25","33.41","25.59","77.88",""
"590007","中邮中证500指数增强A","2020-12-04","1.3440","0.64","2.31","-0.88","20.45","41.18","55.56","20.32","33.29","100.09",""
"585001","东吴中证新兴指数","2020-12-04","1.6758","0.53","2.46","5.58","32.44","55.45","76.96","32.68","44.72","67.58",""
"540012","汇丰晋信恒生龙头指数A","2020-12-04","2.0694","0.59","1.50","11.52","32.77","36.22","72.05","49.93","30.08","195.52",""
"539003","建信富时100指数(QDII)人民币A","2020-12-03","0.7594","-0.35","1.40","5.52","-2.64","-13.61","-13.21","-12.41","-17.28","-21.63",""
"530018","建信深证100指数增强","2020-12-04","2.5904","0.48","2.74","5.07","33.48","52.12","90.92","45.55","42.86","159.04",""
"530015","建信深证基本面60ETF联接A","2020-12-04","2.9343","-0.40","0.51","12.18","32.11","35.92","79.71","52.48","26.08","193.43",""
"530010","建信上证社会责任ETF联接","2020-12-04","2.6147","-0.26","0.93","9.73","31.27","32.07","55.30","41.12","25.16","161.47",""
"519981","长信标普100等权重指数","2020-12-03","1.4160","0.28","","8.01","12.56","10.37","17.68","26.53","8.17","128.12",""
"519706","交银深证300价值ETF联接","2020-12-04","2.3080","-0.39","1.18","8.41","25.85","29.08","67.85","33.41","20.08","130.80",""
"519686","交银上证180公司治理联接","2020-12-04","1.6490","-0.30","0.61","10.23","31.29","28.03","41.55","23.89","21.61","64.90",""
"519677","银河定投宝腾讯济安指数","2020-12-04","2.3680","0.59","1.81","2.82","35.47","54.67","70.11","34.85","45.63","136.80",""
"519671","银河沪深300价值指数","2020-12-04","1.6690","-0.83","-0.30","9.87","23.54","17.21","31.93","21.55","11.34","93.14",""
"519300","大成沪深300指数A","2020-12-04","1.3507","0.03","1.64","5.95","29.90","35.90","58.77","31.40","27.89","309.56",""
"519180","万家180指数","2020-12-04","1.1598","0.13","1.33","5.52","24.26","24.44","42.22","22.47","17.78","363.57",""
"519117","浦银安盛基本面400指数","2020-12-04","1.7830","0.17","0.85","0.62","22.29","31.10","42.30","9.32","22.04","78.30",""
"519116","浦银安盛沪深300指数增强","2020-12-04","1.8830","0.16","1.62","7.20","33.60","40.42","76.57","53.38","32.04","127.77",""
"519100","长盛中证100指数","2020-12-04","1.8687","0.18","1.33","10.40","37.52","42.47","72.07","49.38","34.87","219.65",""
"519034","海富通中证500增强A","2020-12-04","1.8507","0.89","2.57","0.32","24.16","47.58","57.51","11.69","38.01","85.07",""
"519032","海富通上证非周期ETF联接","2020-12-04","1.5880","0.95","1.99","1.86","24.26","35.84","57.54","31.67","30.27","58.80",""
"519027","海富通上证周期ETF联接","2020-12-04","1.4780","-0.47","0.61","9.24","20.46","13.60","27.41","13.17","7.88","47.80",""
"510080","长盛全债指数增强债券","2020-12-04","1.3570","0.27","0.99","-0.54","7.89","14.11","22.50","20.90","11.45","292.25",""
"502056","广发中证医疗指数(LOF)A","2020-12-04","1.3316","1.25","6.49","-1.22","22.98","66.05","109.79","119.46","62.82","41.98",""
"502053","长盛中证证券公司分级","2020-12-04","1.1090","-1.68","2.11","1.65","40.92","42.87","61.95","27.33","25.91","25.19",""
"502048","易方达上证50指数分级","2020-12-04","1.2471","0.10","1.15","7.56","29.50","32.52","55.87","40.29","25.93","29.95",""
"502040","长盛上证50指数(LOF)","2020-12-04","1.1594","0.12","1.17","7.85","32.67","38.98","73.53","56.56","31.37","93.91",""
"502023","鹏华钢铁分级","2020-12-04","1.3340","-0.22","-2.06","8.90","23.55","23.48","13.79","-16.34","17.87","-4.84",""
"502020","国金上证50指数增强(LOF)","2020-12-04","1.2646","0.33","1.48","6.52","23.09","27.42","47.01","30.31","19.81","17.35",""
"502013","长盛中证申万一带一路分级","2020-12-04","1.3680","0.07","0.75","9.03","29.61","31.08","35.17","5.64","21.06","-40.16",""
"502010","易方达证券公司分级","2020-12-04","1.3807","-1.60","2.46","1.06","37.62","44.02","63.57","30.06","26.42","-5.58",""
"502006","易方达国企改革指数分级","2020-12-04","1.4445","0.00","0.63","5.86","36.63","46.60","74.89","43.12","37.28","-6.04",""
"502003","易方达军工分级","2020-12-04","1.3008","1.06","2.16","3.32","47.67","68.02","88.92","49.04","63.29","-13.97",""
"502000","西部利得中证500指数增强A","2020-12-04","1.3963","0.62","1.05","3.06","33.90","56.77","88.95","52.67","45.28","-4.48",""
"501311","嘉实港股通新经济指数A","2020-12-04","1.3550","0.18","-2.27","2.17","18.65","37.80","","","29.10","35.50",""
"501310","华宝沪港深中国增强(LOF)A","2020-12-04","0.8863","-0.85","-2.52","2.56","2.58","-6.07","-13.95","","-12.20","-11.38",""
"501309","国泰恒生港股通指数(LOF)","2020-12-04","1.1612","0.35","-1.07","3.46","12.77","18.41","16.02","","9.25","16.12",""
"501308","银河中证沪港深高股息C","2020-12-04","1.0073","-0.75","-2.33","4.21","11.21","5.43","7.61","","-0.87","0.73",""
"501307","银河中证沪港深高股息A","2020-12-04","1.0137","-0.74","-2.32","4.28","11.35","5.70","8.13","","-0.64","1.37",""
"501306","汇添富中证港股通(LOF)C","2020-12-04","0.8299","-1.01","-2.16","-2.00","-2.27","-8.96","-8.19","-17.03","-15.24","-17.01",""
"501305","汇添富中证港股通(LOF)A","2020-12-04","0.8395","-1.01","-2.16","-1.90","-2.08","-8.60","-7.48","-16.08","-14.93","-16.05",""
"501303","广发恒生中型股指数A","2020-12-04","1.0016","-0.12","-1.05","3.41","12.97","14.13","14.00","0.84","6.64","0.16",""
"501302","南方恒指ETF联接A","2020-12-04","1.0303","0.20","-0.79","4.45","3.28","-1.62","-2.52","-2.91","-8.23","3.03",""
"501301","华宝香港大盘A","2020-12-04","1.1331","0.43","-2.36","4.25","1.02","-0.54","-2.75","-1.97","-8.47","13.30",""
"501105","建信金融债8-10年(LOF)","2020-12-04","1.1857","0.11","0.19","1.18","-0.56","2.53","5.84","17.86","1.95","18.56",""
"501090","华宝中证消费龙头指数(LOF)A","2020-12-04","1.5707","1.11","2.59","10.40","51.41","","","","57.07","57.07",""
"501089","方正富邦消费红利指数增强(LOF)","2020-12-04","1.4210","2.93","3.25","0.76","27.98","42.10","","","42.17","42.10",""
"501086","华宝MSCI中国A股国际通(LOF)","2020-12-04","1.4266","0.33","1.65","5.69","29.10","41.82","","","32.62","42.66",""
"501072","国金红利增强","2020-12-04","1.0477","-0.18","0.09","-1.42","11.02","8.71","","","3.63","4.77",""
"501069","华宝标普中国A股质量价值","2020-12-04","1.4609","0.49","1.51","-0.75","22.29","40.66","","","29.31","46.08",""
"501068","招商富时A-H50指数C","2020-12-04","1.4538","0.83","1.26","8.27","17.96","20.02","45.38","","12.84","45.38",""
"501067","招商富时A-H50指数A","2020-12-04","1.4654","0.83","1.27","8.38","18.21","20.50","46.54","","13.25","46.54",""
"501061","中金优选300指数(LOF)C","2020-12-04","1.6427","-0.48","0.16","5.29","30.65","36.37","66.03","","28.19","64.27",""
"501060","中金优选300指数(LOF)A","2020-12-04","1.6549","-0.49","0.16","5.35","30.81","36.71","67.16","","28.49","65.49",""
"501059","西部利得国企红利(LOF)A","2020-12-04","1.6105","-0.62","-1.11","6.03","25.90","35.14","63.64","","26.26","61.05",""
"501058","汇添富中证新能源汽车C","2020-12-04","1.7719","1.72","1.33","26.11","58.57","95.51","114.39","","72.73","77.19",""
"501057","汇添富中证新能源汽车A","2020-12-04","1.7852","1.72","1.33","26.19","58.77","96.00","115.47","","73.14","78.52",""
"501050","华夏上证50AH优选指数A","2020-12-04","1.5690","0.71","1.55","6.09","18.42","21.44","37.51","31.74","13.53","56.90",""
"501048","汇添富中证全指证券公司指数C","2020-12-04","1.2922","-1.62","2.36","0.08","34.35","38.69","61.40","29.22","21.95","29.22",""
"501047","汇添富中证全指证券公司指数A","2020-12-04","1.2873","-1.63","2.37","0.13","34.51","39.03","60.61","28.73","22.23","28.73",""
"501045","汇添富沪深300指数C","2020-12-04","1.4963","0.18","1.76","7.29","34.81","41.33","70.52","45.13","33.12","49.63",""
"501043","汇添富沪深300指数A","2020-12-04","1.5034","0.19","1.77","7.36","34.98","41.68","71.19","45.83","33.43","50.34",""
"501037","汇添富中证500C","2020-12-04","1.1014","0.33","1.71","-0.77","22.58","38.45","52.91","15.51","29.71","10.14",""
"501036","汇添富中证500A","2020-12-04","1.1094","0.33","1.71","-0.71","22.73","38.80","53.66","16.33","30.01","10.94",""
"501031","汇添富中证环境治理指数C","2020-12-04","0.5877","0.27","1.21","-10.01","4.98","10.28","5.23","-36.31","5.72","-41.23",""
"501030","汇添富中证环境治理指数A","2020-12-04","0.5903","0.27","1.20","-9.93","5.17","10.71","5.79","-35.86","6.09","-40.97",""
"501029","华宝标普中国A股红利机会指数A","2020-12-04","1.1528","-0.32","0.03","1.78","19.80","23.53","32.41","9.65","15.04","18.49",""
"501025","鹏华香港银行指数(LOF)A","2020-12-04","0.9409","0.20","-0.04","12.32","-1.63","-9.15","-14.69","-13.99","-14.67","-2.12",""
"501023","鹏华香港中小企业指数LOF","2020-12-04","1.0851","-0.05","-0.56","3.95","10.24","5.29","-0.95","-5.35","-1.45","8.51",""
"501021","华宝香港中小(QDII-LOF)A","2020-12-04","1.6051","0.03","-0.72","0.16","10.10","11.81","21.78","15.52","5.04","60.51",""
"501019","国泰国证航天军工指数","2020-12-04","1.1939","0.84","2.29","-1.04","36.74","52.22","83.17","45.94","46.10","19.39",""
"501016","国泰中证申万证券行业指数","2020-12-04","1.3049","-1.61","1.64","-1.05","32.61","33.71","59.17","26.38","17.51","30.49",""
"501012","汇添富中证中药指数(LOF)C","2020-12-04","0.9605","1.07","3.08","-7.69","15.47","28.55","18.13","-4.05","23.68","-3.95",""
"501011","汇添富中证中药指数(LOF)A","2020-12-04","0.9708","1.08","3.10","-7.59","15.71","29.08","18.91","-3.22","24.17","-2.92",""
"501010","汇添富中证生物科技指数C","2020-12-04","2.2796","1.42","7.73","-5.58","23.53","78.05","119.61","97.86","71.10","127.96",""
"501009","汇添富中证生物科技指数A","2020-12-04","2.2815","1.42","7.73","-5.48","23.77","78.74","120.43","97.82","71.72","128.15",""
"501008","汇添富中证互联网医疗指数C","2020-12-04","1.2349","0.48","4.10","-6.21","10.70","27.97","44.37","40.14","23.23","23.49",""
"501007","汇添富中证互联网医疗指数A","2020-12-04","1.2487","0.48","4.10","-6.11","10.93","28.49","45.33","41.29","23.71","24.87",""
"501006","汇添富中证精准医疗指数C","2020-12-04","1.6177","1.32","7.32","-8.35","20.82","62.76","104.18","73.74","56.89","61.77",""
