"编号","名称","日期","净值","名称","recent1Week","recent3Month","recent6Month","recent1Year","recent2Year","recent3Year","fromThisYear","fromBuild","serviceCharge"
"952013","国君君得益三个月(FOF)A","2020-12-03","1.4114","-0.15","1.29","","","","","","","0.79",""
"010735","申万稳健养老一年持有混合发起式(FOF)","","","","","","","","","","","",""
"010323","华安平衡养老三年持有(FOF)","2020-12-02","1.0000","0.00","","","","","","","","0.00",""
"010267","兴全安泰养老五年持有混合(FOF)","","","","","","","","","","","",""
"010266","兴全安泰稳健养老一年持有混合(FOF)","2020-11-27","1.0003","0.03","","","","","","","","0.03",""
"010193","农银养老2045五年持有混合(FOF)","2020-12-02","0.9988","","0.32","","","","","","","-0.12",""
"010047","博时金福安一年持有混合(FOF)C","2020-12-02","1.0285","-0.04","1.06","","","","","","","2.85",""
"010046","博时金福安一年持有混合(FOF)A","2020-12-02","1.0295","-0.03","1.07","","","","","","","2.95",""
"009884","民生加银康宁平衡养老目标三年持有混合(FOF)","2020-12-03","1.0193","0.29","1.22","","","","","","","1.93",""
"009626","浦银安盛养老2040三年持有混合(FOF)","","","","","","","","","","","",""
"009573","南方养老2045三年持有混合(FOF)","2020-12-02","1.0672","-0.06","1.56","5.34","","","","","","6.72",""
"009572","南方养老2040三年持有混合(FOF)","2020-12-02","1.0462","-0.08","1.37","3.66","","","","","","4.62",""
"009460","安信禧悦稳健养老一年持有混合(FOF)","2020-12-03","1.0277","-0.28","0.26","0.77","","","","","","2.77",""
"009442","中银养老2040三年持有期混合(FOF)","2020-11-27","1.0000","","0.00","","","","","","","0.00",""
"009385","天弘永裕平衡养老三年持有(FOF)","2020-12-02","1.0206","-0.07","1.57","2.06","","","","","","2.06",""
"009383","人保稳进配置三个月持有(FOF)","2020-12-03","1.0161","-0.13","0.51","","","","","","","1.61",""
"009371","浦银安盛睿和优选3个月持有混合(FOF)C","2020-12-02","1.0069","0.01","0.48","0.69","","","","","","0.69",""
"009370","浦银安盛睿和优选3个月持有混合(FOF)A","2020-12-02","1.0078","0.01","0.48","0.78","","","","","","0.78",""
"009355","泰达泰和稳健养老一年(FOF)","2020-12-02","1.0352","0.00","0.53","0.86","3.52","","","","","3.52",""
"009340","工银养老2055混合(FOF)","2020-12-02","1.0353","-0.14","1.34","3.53","","","","","","3.53",""
"009335","工银稳健养老目标一年持有混合发起(FOF)","2020-12-02","1.0103","0.00","0.85","","","","","","","1.02",""
"009214","易方达如意安泰(FOF)C","2020-12-03","1.0066","0.00","0.47","0.60","","","","","","0.66",""
"009213","易方达如意安泰(FOF)A","2020-12-03","1.0075","0.00","0.48","0.68","","","","","","0.75",""
"009185","农银汇理永乐3月持有(FOF)","2020-12-02","1.0320","-0.01","0.61","0.02","","","","","","3.20",""
"009184","东方红颐和积极养老五年(FOF)","2020-12-02","1.1214","-0.17","0.89","4.29","","","","","","12.14",""
"009183","东方红颐和平衡养老三年(FOF)","2020-12-02","1.0852","-0.17","0.43","2.79","","","","","","8.52",""
"009174","东方红颐和稳健养老两年(FOF)","2020-12-02","1.0328","-0.05","0.54","1.44","","","","","","3.28",""
"009161","上投锦程养老五年混合(FOF)","2020-12-02","1.2465","-0.15","0.93","1.54","21.75","","","","","24.65",""
"009151","国寿策略优选3个月持有混合(FOF)","2020-12-03","1.0334","-0.04","0.57","1.78","","","","","","3.34",""
"009146","新华精选成长3个月混合(FOF)","2020-12-03","1.1966","0.05","1.90","0.63","18.72","","","","","19.66",""
"009143","上投摩根养老一年混合(FOF)","2020-12-02","1.0572","-0.08","0.63","1.73","6.16","","","","","5.72",""
"009113","浙商汇金卓越优选3个月(FOF)","2020-12-03","1.0994","0.14","2.37","-1.88","10.46","","","","","9.94",""
"009003","中银安康平衡养老三年(FOF)","2020-12-02","1.0592","0.05","1.03","0.88","4.88","","","","","5.92",""
"008886","民生卓越配置6个月混合(FOF)","2020-12-03","1.1081","0.05","1.01","1.36","8.83","","","","","10.81",""
"008755","泰康睿福3月持有混合(FOF)C","2020-12-03","1.2151","0.02","0.97","2.90","19.03","","","","","21.51",""
"008754","泰康睿福3月持有混合(FOF)A","2020-12-03","1.2197","0.02","0.98","3.05","19.38","","","","","21.97",""
"008753","大成兴享平衡养老三年(FOF)","2020-12-02","1.0449","-0.07","0.88","-2.10","","","","","","4.49",""
"008697","交银养老2035三年(FOF)","2020-12-02","1.2289","0.00","1.15","0.21","22.47","","","","","22.89",""
"008639","中欧预见养老2025一年持有(FOF)","2020-12-02","1.0438","0.07","0.78","1.80","4.46","","","","","4.38",""
"008631","国泰民泽平衡养老FOF","2020-12-02","1.0201","0.03","0.67","0.93","","","","","","2.01",""
"008625","国富平衡养老三年混合(FOF)","2020-12-02","1.1043","-0.25","0.27","-0.54","","","","","","10.43",""
"008621","天弘永裕稳健养老一年(FOF)","2020-12-02","1.0584","-0.03","0.81","-0.05","5.96","","","","","5.84",""
"008617","国寿稳健养老一年混合(FOF)","2020-12-03","1.0083","-0.12","0.25","0.58","","","","","","0.83",""
"008609","广发养老2040(FOF)","2020-12-02","1.1036","0.05","1.13","1.24","10.36","","","","","10.36",""
"008553","万家养老2035三年持有期混合(FOF)","2020-12-02","1.0757","-0.06","1.19","1.92","","","","","","7.57",""
"008462","平安盈丰三个月持有混合(FOF)C","2020-12-02","1.3834","-0.08","1.93","-1.61","22.95","","","","38.19","38.34",""
"008461","平安盈丰三个月持有混合(FOF)A","2020-12-02","1.3899","-0.08","1.94","-1.48","23.26","","","","38.82","38.99",""
"008169","汇添富核心优势三个月混合(FOF)","2020-12-02","1.2959","-0.54","0.89","-1.86","25.33","","","","","29.59",""
"008168","汇添富聚焦成长三个月混合FOF","2020-12-02","1.0384","-0.48","1.05","-1.45","","","","","","3.84",""
"008159","招商盛鑫优选3个月持有(FOF)C","2020-12-02","1.0359","-0.09","1.72","1.70","3.63","","","","","3.59",""
"008158","招商盛鑫优选3个月持有(FOF)A","2020-12-02","1.0382","-0.09","1.72","1.80","3.84","","","","","3.82",""
"008145","兴全优选进取三个月持有(FOF)","2020-12-02","1.3428","-0.01","1.75","3.64","27.76","","","","","34.28",""
"008079","诺德大类精选(FOF)","2020-12-03","1.2931","0.05","1.62","-0.81","20.05","","","","26.72","29.31",""
"007934","嘉合永泰优选三个月持有混合(FOF)C","2020-12-02","1.0107","-0.18","1.56","1.46","1.41","","","","","1.07",""
"007933","嘉合永泰优选三个月持有混合(FOF)A","2020-12-02","1.0119","-0.17","1.58","1.51","1.53","","","","","1.19",""
"007904","广发锐意进取3个月持有混合(FOF)A","2020-12-02","1.3444","0.00","1.56","1.81","30.96","34.44","","","32.90","34.44",""
"007897","易方达优选多资产三个月持有混合(FOF)C","2020-12-02","1.2063","-0.12","1.47","-0.25","19.39","","","","","20.63",""
"007896","易方达优选多资产三个月持有混合(FOF)A","2020-12-02","1.2095","-0.12","1.49","-0.15","19.63","","","","","20.95",""
"007780","银华尊和养老2040混合(FOF)","2020-12-02","1.3900","-0.12","2.14","-1.16","22.32","37.71","","","33.42","39.00",""
"007779","银华尊和养老2030混合(FOF)","2020-12-02","1.3025","-0.11","1.93","0.08","18.87","29.36","","","26.41","30.25",""
"007747","海富通平衡养老(FOF)","2020-12-02","1.1590","0.03","1.01","0.15","12.70","","","","","15.90",""
"007705","长城恒康稳健养老一年(FOF)","2020-12-02","1.0170","0.04","0.40","-0.13","","","","","","1.69",""
"007695","泰达养老2040三年持有混合(FOF)E","2020-12-02","1.1412","0.06","1.11","-0.15","12.20","","","","","14.12",""
"007694","泰达养老2040三年持有混合(FOF)C","2020-12-02","1.1377","0.06","1.10","-0.25","11.98","","","","","13.77",""
"007688","泰达养老2040三年持有混合(FOF)A","2020-12-02","1.1412","0.06","1.11","-0.15","12.20","","","","","14.12",""
"007673","中加安瑞稳健养老一年(FOF)","2020-12-02","1.0916","0.03","0.66","1.37","7.15","","","","","9.16",""
"007668","广发养老2035三年持有期混合(FOF)","2020-12-02","1.0325","0.13","1.41","","","","","","","3.25",""
"007662","富国鑫旺均衡养老三年(FOF)","2020-12-02","1.1475","0.03","1.13","1.16","12.39","","","","","14.75",""
"007661","南方养老2030三年(FOF)","2020-12-02","1.2357","-0.08","1.61","2.60","18.87","","","","22.69","23.57",""
"007660","招商和悦均衡养老三年(FOF)","2020-12-02","1.1889","-0.38","0.79","-1.61","13.19","","","","16.72","18.89",""
"007652","华夏稳健养老一年(FOF)","2020-12-02","1.1357","-0.01","0.66","0.95","8.54","13.56","","","12.58","13.57",""
"007651","工银养老2045三年持有混合(FOF)","2020-12-02","1.2365","-0.13","1.15","1.15","17.98","","","","","23.65",""
"007650","工银养老2040(FOF)","2020-12-02","1.3030","-0.13","1.31","1.09","16.36","30.71","","","24.72","30.30",""
"007649","博时颐泽平衡养老(FOF)","2020-12-02","1.1983","-0.20","0.96","2.30","14.85","19.40","","","17.98","19.83",""
"007643","华安稳健养老一年(FOF)","2020-12-02","1.0824","-0.06","0.39","-0.71","4.89","8.24","","","7.63","8.24",""
"007638","前海开源康颐平衡养老三年(FOF)","2020-12-02","1.0922","0.13","1.18","-1.98","8.82","9.33","","","7.30","9.22",""
"007407","农银养老2035混合(FOF)","2020-12-02","1.2648","0.02","1.52","-1.07","15.38","26.51","","","22.21","26.48",""
"007402","浦银颐和稳健养老一年(FOF)C","2020-12-02","1.0574","0.02","0.79","1.07","3.89","5.72","","","5.17","5.74",""
"007401","浦银颐和稳健养老一年(FOF)A","2020-12-02","1.0617","0.02","0.80","1.17","4.10","6.15","","","5.57","6.17",""
"007310","银华尊尚稳健养老混合(FOF)","2020-12-02","1.1876","0.00","0.96","0.30","10.48","17.61","","","15.47","18.75",""
"007298","大成养老2040(FOF)C","2020-12-02","1.3170","-0.05","1.30","-1.01","12.80","22.88","","","17.52","31.70",""
"007297","大成养老2040(FOF)A","2020-12-02","1.3245","-0.05","1.30","-0.91","13.02","23.36","","","17.94","32.45",""
"007274","景顺长城养老混合(FOF)","2020-12-02","1.2734","-0.02","1.72","1.59","20.74","27.35","","","26.43","27.34",""
"007272","景顺稳健养老目标三年混合(FOF)","2020-12-02","1.1673","0.03","1.20","1.11","11.90","17.16","","","15.30","16.74",""
"007255","华宝稳健养老(FOF)","2020-12-02","1.2077","0.07","1.58","3.05","13.93","18.88","","","16.35","20.76",""
"007250","广发养老2050混合(FOF)","2020-12-02","1.2791","0.01","1.68","0.49","20.49","26.06","","","21.06","27.91",""
"007249","广发均衡养老三年持有混合(FOF)","2020-12-02","1.2234","0.07","1.36","0.47","16.48","22.65","","","19.96","22.34",""
"007247","易方达汇智稳健养老混合(FOF)","2020-12-02","1.0920","-0.01","0.62","1.30","6.30","9.09","","","8.59","9.20",""
"007242","中欧预见养老2050五年持有(FOF)C","2020-12-02","1.4443","-0.23","1.74","1.55","18.99","34.14","","","27.77","44.43",""
"007241","中欧预见养老2050五年持有(FOF)A","2020-12-02","1.4430","-0.23","1.75","1.63","19.17","34.53","","","28.12","44.30",""
"007239","平安养老2035(FOF)C","2020-12-02","1.3267","0.02","1.35","0.02","14.21","27.90","","","22.74","32.67",""
"007238","平安养老2035(FOF)A","2020-12-02","1.3315","0.02","1.35","0.08","14.36","28.21","","","23.01","33.15",""
"007232","万家平衡养老目标三年(FOF)","2020-12-02","1.2597","-0.01","1.19","1.04","13.68","21.31","","","16.63","25.97",""
"007231","国泰民安养老2040(FOF)","2020-12-02","1.2440","-0.04","1.34","0.79","13.18","21.34","","","17.26","24.40",""
