"编号","名称","日期","净值","名称","recent1Week","recent3Month","recent6Month","recent1Year","recent2Year","recent3Year","fromThisYear","fromBuild","serviceCharge"
"970010","方正证券金立方一年持有期混合C","2020-12-04","1.0422","0.29","1.34","","","","","","","4.22",""
"970008","华安证券汇赢增利一年持有混合C","2020-12-04","1.0142","0.15","0.49","0.62","","","","","","1.42",""
"970007","华安证券汇赢增利一年持有混合B","2020-12-04","1.0111","0.14","0.47","0.42","","","","","","1.11",""
"959991","兴证资管金麒麟领先优势一年持有混合A","2020-12-04","1.4554","1.03","1.71","10.07","36.64","","","","","38.19",""
"952099","君得鑫两年持有期混合C","2020-12-04","2.3660","1.35","2.56","4.92","27.47","","","","","38.27",""
"952035","国泰君安君得诚混合","2020-12-04","1.4330","1.30","3.75","2.40","21.90","","","","","39.14",""
"952013","国君君得益三个月(FOF)A","2020-12-03","1.4114","-0.15","1.29","","","","","","","0.79",""
"952009","君得鑫两年持有期混合A","2020-12-04","2.3534","1.35","2.54","4.74","27.05","","","","","37.53",""
"952004","国泰君安君得明混合","2020-12-04","2.7084","1.25","2.30","4.10","27.83","44.49","","","36.84","47.20",""
"920926","中金汇越量化3个月定开混合C","2020-12-04","1.0469","-0.06","-0.56","","","","","","","-3.10",""
"920921","中金安心回报灵活配置混合C","2020-12-04","1.3355","0.42","0.82","1.95","8.03","","","","","8.90",""
"920012","中金汇越量化3个月定开混合A","2020-12-04","1.0480","-0.05","-0.55","","","","","","","-3.00",""
"920011","中金安心回报灵活配置混合A","2020-12-04","1.3385","0.43","0.83","2.06","8.26","","","","","11.58",""
"910022","东方红启航三年持有混合A","2020-12-04","4.6956","0.85","0.88","","","","","","","0.92",""
"910007","东方红启元三年持有混合A","2020-12-04","4.9760","0.53","0.91","5.71","33.55","42.69","","","38.56","54.00",""
"900100","中信卓越成长两年持有混合C","2020-12-04","1.9360","0.33","0.96","10.42","30.44","","","","","30.66",""
"900099","中信证券红利价值B","2020-12-04","2.0128","0.90","2.11","0.76","27.46","56.07","","","51.63","58.21",""
"900090","中信卓越成长两年持有混合B","2020-12-04","1.9429","0.33","0.97","10.61","30.90","","","","","31.13",""
"900089","中信证券红利价值C","2020-12-04","1.9950","0.89","2.09","0.55","26.96","54.82","","","50.51","56.82",""
"900079","中信证券臻选价值成长混合C","2020-12-04","1.5059","0.52","0.29","2.70","18.07","","","","","31.63",""
"900078","中信证券稳健回报混合C","2020-12-04","1.1911","0.88","-2.15","","","","","","","0.29",""
"900011","中信证券红利价值A","2020-12-04","2.0035","0.90","2.10","0.65","27.21","55.44","","","51.06","57.48",""
"900010","中信卓越成长两年持有混合A","2020-12-04","1.9405","0.33","0.97","10.56","30.74","","","","","30.96",""
"900009","中信证券成长动力混合A","2020-12-04","2.2283","0.63","1.53","","","","","","","1.42",""
"900008","中信证券稳健回报混合A","2020-12-04","1.1927","0.88","-2.14","","","","","","","0.42",""
"900003","中信证券臻选价值成长混合A","2020-12-04","1.5114","0.53","0.31","2.91","18.54","","","","","32.12",""
"880007","招商资管智远成长灵活配置混合A","2020-12-04","1.0075","-0.09","0.55","","","","","","","0.75",""
"871003","广发资管价值增长灵活配置混合","2020-12-04","1.4544","-0.14","0.23","5.37","40.94","","","","","44.05",""
"870017","广发资管消费精选灵活配置混合","2020-12-04","1.3851","-0.01","0.23","13.00","34.68","39.54","","","36.29","38.51",""
"860053","光大阳光启明星创新驱动主题混合C","2020-12-04","1.0132","0.82","2.50","0.47","","","","","","1.32",""
"860039","光大阳光智造混合C","2020-12-04","1.1374","0.79","1.05","7.59","","","","","","14.10",""
"860016","光大阳光启明星创新驱动主题混合A","2020-12-04","1.7131","0.82","2.53","0.82","","","","","","1.03",""
"860007","光大阳光价值30个月混合A","2020-12-04","2.6299","0.25","-0.09","6.27","29.45","","","","","42.77",""
"860006","光大阳光优选一年持有混合A","2020-12-04","2.8642","0.81","1.57","","","","","","","4.68",""
"860001","光大阳光混合A","2020-12-04","3.7712","0.83","2.16","1.96","","","","","","20.06",""
"850599","海通核心优势一年持有混合C","2020-12-04","1.1321","0.37","0.43","0.87","13.24","","","","","13.21",""
"850588","海通核心优势一年持有混合A","2020-12-04","1.1353","0.38","0.44","1.01","13.53","","","","","13.53",""
"850005","海通核心优势一年持有混合B","2020-12-04","1.1352","0.37","0.44","1.01","13.53","","","","","13.52",""
"770001","德邦优化混合","2020-12-04","1.5263","0.53","1.11","4.34","34.16","48.22","84.80","63.68","40.44","181.07",""
"762001","国金国鑫发起A","2020-12-04","2.1752","0.62","1.02","3.09","23.23","42.17","81.46","39.02","35.76","358.50",""
"750005","安信平稳增长混合发起A","2020-12-04","1.3877","-0.12","-0.26","1.11","4.33","8.78","18.14","19.88","7.17","98.61",""
"750001","安信灵活配置混合","2020-12-04","2.3210","0.04","0.26","11.80","50.71","77.99","153.11","99.74","66.50","274.15",""
"740001","长安宏观策略混合","2020-12-04","1.3070","1.08","1.16","4.98","28.77","21.47","22.61","-6.38","16.18","113.91",""
"730002","方正富邦红利精选混合A","2020-12-04","1.7910","0.14","1.02","18.55","50.82","64.89","68.96","47.29","54.56","127.03",""
"730001","方正富邦创新动力混合A","2020-12-04","1.5325","-0.05","3.48","-6.96","10.23","27.47","54.02","28.67","16.13","137.33",""
"720001","财通价值动量混合","2020-12-04","3.5100","0.95","2.24","-0.54","16.46","51.03","140.25","99.21","43.68","365.05",""
"710002","富安达策略精选混合","2020-12-04","3.4844","0.55","1.99","-1.53","14.19","35.78","58.73","41.14","28.68","261.11",""
"710001","富安达优势成长混合","2020-12-04","2.8892","0.67","1.59","-3.25","15.98","34.45","73.04","28.81","26.21","188.92",""
"700004","平安灵活配置混合","2020-12-04","1.9088","0.30","1.06","4.76","30.44","54.57","85.55","86.22","48.58","138.03",""
"700003","平安策略先锋混合","2020-12-04","3.2800","1.11","0.95","3.08","27.88","57.54","137.34","77.68","46.95","258.89",""
"700001","平安行业先锋混合","2020-12-04","2.1520","0.28","1.61","8.30","40.93","72.02","119.82","92.83","62.66","175.53",""
"690011","民生加银积极成长混合发起式","2020-12-04","2.5760","1.14","2.67","9.01","42.24","60.00","116.65","85.72","48.90","157.60",""
"690009","民生加银红利回报混合","2020-12-04","3.1720","0.44","1.34","7.13","38.03","54.96","93.89","70.72","48.16","297.11",""
"690007","民生加银景气行业混合A","2020-12-04","4.9250","0.45","1.32","7.09","42.96","60.63","131.22","109.75","52.86","392.50",""
"690005","民生加银内需增长混合","2020-12-04","2.7860","0.76","2.39","7.89","44.40","78.94","172.25","112.46","67.87","279.24",""
"690004","民生加银稳健成长混合","2020-12-04","3.1130","0.39","1.37","15.51","48.80","75.48","113.07","100.45","67.01","211.30",""
"690003","民生加银精选混合","2020-12-04","1.0520","0.67","2.14","0.10","10.97","19.95","-1.59","-14.33","10.74","5.20",""
"690001","民生加银品牌蓝筹混合","2020-12-04","2.7980","0.58","1.93","7.70","41.89","62.69","111.22","82.82","57.19","284.93",""
"688888","浙商聚潮产业成长混合","2020-12-04","1.8490","-0.38","-0.43","11.18","44.57","65.53","84.16","51.56","45.48","130.48",""
"673143","西部利得景程混合C","2020-12-04","1.1904","0.03","1.81","1.94","2.49","5.77","16.17","","4.34","19.04",""
"673141","西部利得景程混合A","2020-12-04","1.1924","0.03","1.82","1.97","2.54","5.88","16.29","","4.43","19.24",""
"673120","西部利得新富混合","2020-12-04","1.7170","1.24","2.26","5.92","28.81","49.56","68.33","67.68","46.13","71.70",""
"673110","西部利得新润混合","2020-12-04","1.6880","0.18","0.96","1.50","30.15","43.05","85.64","81.19","34.61","81.56",""
"673083","西部利得祥运混合C","2020-12-04","1.0670","-0.20","0.14","1.81","5.62","6.42","10.31","1.52","5.39","6.70",""
"673081","西部利得祥运混合A","2020-12-04","1.1461","-0.19","0.16","1.94","5.89","6.95","10.70","22.13","5.88","29.00",""
"673073","西部利得新动力混合C","2020-12-04","1.6536","0.68","1.50","2.91","23.70","38.13","58.06","57.92","35.02","65.36",""
"673071","西部利得新动力混合A","2020-12-04","1.6730","0.68","1.51","2.96","23.82","38.41","58.70","58.89","35.27","102.93",""
"673060","西部利得景瑞灵活配置混合A","2020-12-04","1.9420","0.15","0.52","12.25","40.22","58.92","161.35","113.35","54.25","109.08",""
"673050","西部利得新盈混合","2020-12-04","1.3890","0.00","0.80","-4.47","10.15","25.82","31.16","34.20","23.03","38.90",""
"673043","西部利得行业主题优选混合C","2020-12-04","1.1470","-0.17","0.53","-4.17","7.92","23.17","39.13","38.99","21.04","49.66",""
"673040","西部利得行业主题优选混合A","2020-12-04","1.5200","-0.20","0.46","-4.22","7.95","23.18","39.32","39.32","21.12","52.00",""
"673030","西部利得多策略优选混合","2020-12-04","1.0710","-0.46","0.00","1.19","34.41","31.33","50.24","45.38","26.14","64.57",""
"673020","西部利得成长精选混合","2020-12-04","1.5690","0.06","0.90","5.09","28.92","38.73","55.04","47.74","26.53","56.90",""
"673010","西部利得新动向混合","2020-12-04","1.3640","0.00","1.87","3.10","24.68","35.72","63.55","32.56","27.12","113.34",""
"671010","西部利得策略优选混合","2020-12-04","1.3270","-1.70","0.38","6.24","32.97","46.15","67.97","48.60","35.13","32.70",""
"660015","农银行业轮动混合","2020-12-04","5.1524","0.73","0.88","3.02","31.24","63.87","107.16","66.31","54.29","457.62",""
"660012","农银消费主题混合A","2020-12-04","4.6894","1.52","1.61","5.45","42.03","93.25","145.09","81.70","83.56","404.06",""
"660010","农银策略精选混合","2020-12-04","2.0962","1.24","1.90","4.38","30.00","65.33","108.97","87.53","59.53","109.62",""
"660006","农银大盘蓝筹混合","2020-12-04","1.6046","0.35","1.51","3.48","27.55","40.59","68.36","43.70","33.08","60.46",""
"660005","农银中小盘混合","2020-12-04","3.7591","0.81","1.32","5.71","35.98","73.27","124.30","63.17","67.17","342.18",""
"660004","农银策略价值混合","2020-12-04","3.7392","0.79","1.36","5.88","36.73","71.96","121.58","82.44","66.58","273.92",""
"660003","农银平衡双利混合","2020-12-04","2.4224","0.66","1.21","5.05","32.17","62.87","107.50","72.50","58.19","317.54",""
"660001","农银行业成长混合","2020-12-04","3.2463","1.10","2.74","-2.79","20.75","50.61","75.61","33.00","41.97","402.44",""
"630016","华商价值共享混合发起式","2020-12-04","3.3220","1.50","1.87","3.81","30.38","59.48","124.61","61.18","54.80","319.42",""
