"编号","名称","日期","净值","名称","recent1Week","recent3Month","recent6Month","recent1Year","recent2Year","recent3Year","fromThisYear","fromBuild","serviceCharge"
"539003","建信富时100指数(QDII)人民币A","2020-12-03","0.7594","-0.35","1.40","5.52","-2.64","-13.61","-13.21","-12.41","-17.28","-21.63",""
"539002","建信新兴市场混合(QDII)","2020-12-03","0.9680","0.52","","1.79","6.49","7.08","6.96","2.65","0.73","-3.20",""
"539001","建信全球机遇混合(QDII)","2020-12-03","1.5580","-0.13","","-1.14","5.27","5.06","9.80","10.03","0.71","55.80",""
"519981","长信标普100等权重指数","2020-12-03","1.4160","0.28","","8.01","12.56","10.37","17.68","26.53","8.17","128.12",""
"519696","交银环球精选混合(QDII)","2020-12-03","2.3790","0.21","-0.08","3.61","11.85","18.88","31.12","37.61","14.57","233.82",""
"519602","海富通大中华混合(QDII)","2020-12-03","1.3830","-0.72","-1.78","-10.14","-1.78","16.71","23.26","16.02","9.33","38.30",""
"519601","海富通中国海外混合","2020-12-03","2.0960","-0.71","-1.92","-10.47","-2.92","12.93","19.02","12.03","6.78","157.01",""
"501300","海富通全球收益债券人民币","2020-12-03","1.0441","-0.02","-0.07","-2.94","-3.75","-3.82","4.66","6.85","-3.32","4.21",""
"501021","华宝香港中小(QDII-LOF)A","2020-12-04","1.6051","0.03","-0.72","0.16","10.10","11.81","21.78","15.52","5.04","60.51",""
"501018","南方原油A","2020-12-03","0.5568","0.78","-0.30","1.74","6.10","-49.21","-46.26","-45.25","-52.84","-44.32",""
"486002","工银全球精选股票(QDII)","2020-12-03","2.8300","-0.04","0.71","0.21","7.93","13.70","29.52","46.03","9.73","183.00",""
"486001","工银全球股票(QDII)","2020-12-03","1.6880","0.48","-0.59","0.42","12.68","25.26","42.70","52.44","20.31","179.48",""
"470888","汇添富香港混合(QDII)","2020-12-03","1.2440","0.81","-1.03","-4.38","10.19","28.25","28.91","12.99","23.29","41.48",""
"460010","华泰柏瑞亚洲领导企业混合","2020-12-03","1.5540","0.91","0.65","2.71","43.36","70.39","72.48","56.81","59.55","55.40",""
"457001","国富亚洲机会股票(QDII)","2020-12-03","1.6030","0.19","-1.05","6.94","27.42","56.24","78.91","60.11","44.41","73.84",""
"378546","上投摩根全球天然资源混合","2020-12-03","0.6655","1.31","2.86","5.58","5.30","-4.24","-3.27","-1.41","-9.95","-33.45",""
"378006","上投摩根全球新兴市场混合","2020-12-03","1.3018","0.67","-0.17","9.21","24.46","25.05","31.10","17.81","16.86","30.18",""
"377016","上投摩根亚太优势混合","2020-12-03","1.0290","0.68","-0.39","7.75","24.13","27.67","36.65","29.92","19.93","2.90",""
"320017","诺安全球收益不动产","2020-12-03","1.3890","1.02","","1.17","-4.01","-13.51","-11.42","-7.89","-13.40","38.90",""
"320013","诺安全球黄金","2020-12-03","1.0580","0.19","","-8.87","-1.31","13.16","34.09","33.59","11.37","14.50",""
"270042","广发纳斯达克100指数A","2020-12-03","3.5940","0.03","2.26","1.33","18.31","37.14","61.59","88.96","30.79","336.26",""
"270023","广发全球精选股票(QDII)","2020-12-03","2.9680","-0.20","-1.23","6.84","49.97","94.50","97.87","84.15","77.94","294.08",""
"262001","景顺长城大中华混合","2020-12-03","2.1580","0.61","-0.18","1.46","23.42","57.64","73.49","68.77","47.25","177.66",""
"241001","华宝海外中国成长混合","2020-12-03","1.9820","-0.50","0.30","-10.60","-2.84","18.47","27.21","4.32","9.87","98.20",""
"206011","鹏华美国房地产(QDII)","2020-12-03","0.7590","0.40","","-7.78","-8.22","-30.21","-24.44","-29.51","-31.78","6.15",""
"206006","鹏华全球中短债(QDII)人民币A","2020-12-03","1.0377","0.32","","-1.12","1.64","8.45","13.74","1.32","4.35","4.87",""
"202801","南方全球精选配置","2020-12-03","1.2270","0.82","1.15","0.99","12.26","20.97","33.84","34.71","15.85","23.26",""
"183001","银华全球优选","2020-12-03","1.2210","0.08","","2.86","2.43","-1.77","2.78","6.73","-4.46","22.10",""
"165513","信诚全球商品主题","2020-12-03","0.2830","0.71","-0.35","-0.70","4.43","-29.43","-29.60","-37.67","-33.10","-71.70",""
"165510","信诚四国配置","2020-12-03","0.8000","0.38","0.25","3.49","12.99","7.53","6.81","-2.56","1.01","-20.00",""
"164906","交银中证海外中国互联网指数","2020-12-03","1.9380","1.04","-0.97","3.47","22.74","49.77","63.13","43.45","43.24","93.80",""
"164824","工银印度基金人民币","2020-12-03","0.9922","0.47","1.97","7.32","19.44","1.29","3.80","","-0.14","-0.82",""
"164705","汇添富恒生指数A","2020-12-04","1.0793","0.24","-0.53","1.44","0.03","-4.58","-5.85","-7.49","-10.78","23.40",""
"164701","汇添富黄金及贵金属","2020-12-03","0.7980","0.38","1.40","-8.59","-0.62","13.68","33.67","31.90","11.61","-20.20",""
"163813","中银全球策略","2020-12-03","0.6650","0.30","","1.53","9.56","10.83","7.95","11.20","9.20","-33.50",""
"163208","诺安油气能源","2020-12-03","0.4850","0.83","-2.81","7.54","-6.37","-34.81","-45.81","-44.89","-39.45","-51.50",""
"162719","广发道琼斯石油指数人民币A","2020-12-03","0.7458","1.41","-3.74","9.68","-9.25","-13.79","-28.71","-25.03","-21.55","-25.42",""
"162415","华宝标普美国消费人民币A","2020-12-03","1.9230","0.26","-0.31","1.48","11.93","19.37","31.53","56.09","15.22","92.30",""
"162411","华宝标普油气上游股票人民币A","2020-12-03","0.2797","1.23","-4.21","9.43","-4.83","-22.31","-52.27","-53.15","-32.76","-72.03",""
"161831","银华恒生国企指数分级","2020-12-04","0.9182","0.17","-2.00","3.11","0.99","0.57","-2.37","-2.32","-6.53","10.21",""
"161815","银华抗通胀主题","2020-12-03","0.4240","0.47","","0.47","4.95","-11.67","-8.23","-8.82","-15.54","-57.60",""
"161714","招商标普金砖四国指数","2020-12-03","1.1330","0.71","","5.20","10.00","7.39","11.52","12.51","-0.26","13.30",""
"161620","融通核心价值混合","2020-12-03","1.0341","-0.58","-1.86","5.99","22.06","49.61","37.88","18.05","47.20","3.41",""
"161229","国投瑞银中国价值发现股票","2020-12-03","1.5890","0.19","-0.87","5.02","14.90","28.25","38.54","41.61","20.38","115.28",""
"161130","易方达纳斯达克100人民币","2020-12-03","1.9340","0.06","2.18","1.60","17.55","36.48","59.53","83.75","30.22","93.38",""
"161129","易方达原油A类人民币","2020-12-03","0.5444","0.89","-0.55","1.25","5.20","-50.22","-48.08","-47.10","-53.86","-45.56",""
"161128","易标普信息科技人民币","2020-12-03","2.2826","-0.13","1.84","0.02","14.43","31.21","63.74","88.44","24.22","128.26",""
"161127","易标普生物科技人民币","2020-12-03","1.8023","0.69","4.75","18.68","16.11","28.06","40.14","47.36","27.00","80.23",""
"161126","易方达标普医疗保健人民币","2020-12-03","1.5018","-0.25","1.57","1.45","1.72","7.16","15.60","33.70","5.15","50.18",""
"161125","易方达标普500指数人民币","2020-12-03","1.5029","-0.08","0.70","1.70","7.67","8.86","22.07","36.71","5.13","50.29",""
"161124","易方达香港小型股指数A","2020-12-04","1.2151","0.50","2.31","0.90","8.10","12.81","13.14","11.97","6.77","21.51",""
"161116","易方达黄金主题人民币A","2020-12-03","0.8460","-0.47","3.55","-14.63","-5.47","4.32","20.51","18.82","-1.05","-15.40",""
"160924","大成恒生指数","2020-12-04","0.9600","0.21","-0.72","3.23","1.91","-1.34","-4.48","-7.16","-7.96","-4.00",""
"160923","大成海外中国机会混合","2020-12-03","1.3890","1.24","-0.22","2.43","16.43","19.43","25.93","19.43","13.76","38.90",""
"160922","大成恒生综合中小型股指数A","2020-12-04","1.0810","0.00","-0.46","2.27","10.99","9.97","5.88","-5.59","3.64","8.10",""
"160723","嘉实原油(QDII-LOF)","2020-12-03","0.6413","0.71","0.02","1.78","5.37","-43.90","-41.49","-40.48","-47.88","-35.87",""
"160719","嘉实黄金","2020-12-03","0.9260","0.33","1.09","-8.86","-1.70","12.38","32.47","31.72","10.63","-7.40",""
"160717","嘉实恒生中国企业","2020-12-04","0.8025","0.21","-1.99","2.41","0.27","-1.27","-3.43","-4.78","-8.61","-19.75",""
"160644","鹏华港美互联股票人民币","2020-12-03","1.3082","0.88","","1.06","18.85","48.76","61.66","34.85","39.64","31.22",""
"160416","华安标普全球石油指数","2020-12-03","0.8080","0.62","-1.70","3.86","-10.72","-17.21","-22.61","-15.39","-22.31","-16.03",""
"160216","国泰大宗商品","2020-12-03","0.2040","0.99","-0.49","0.49","5.15","-56.22","-55.26","-54.26","-59.28","-79.60",""
"160213","国泰纳斯达克100指数","2020-12-03","4.9460","0.08","2.32","1.60","18.47","39.80","65.15","91.41","32.99","495.06",""
"160141","南方道琼斯美国精选C","2020-12-03","0.9466","0.93","-0.65","1.26","-3.50","-18.75","-10.69","-3.96","-18.08","-3.73",""
"160140","南方道琼斯美国精选A","2020-12-03","0.9585","0.94","-0.63","1.36","-3.31","-18.46","-10.00","-2.78","-17.82","-2.53",""
"160125","南方香港优选股票","2020-12-03","1.3626","0.99","-0.85","-0.47","16.36","24.70","36.89","34.80","18.61","48.17",""
"118002","易方达标普消费品指数A","2020-12-03","2.5190","0.84","0.84","11.96","24.15","27.09","41.20","42.64","20.41","151.90",""
"118001","易方达亚洲精选股票","2020-12-03","1.4710","1.31","-1.47","3.81","21.97","54.52","62.36","50.10","45.36","47.10",""
"110031","易方达恒生国企ETF联接A","2020-12-04","1.1553","0.04","-1.99","2.49","-0.72","-1.48","-3.89","-1.94","-8.55","15.53",""
"100061","富国中国中小盘混合(QDII)人民币","2020-12-03","2.5140","0.76","-0.67","1.29","15.59","46.85","56.60","48.60","40.60","234.17",""
"100055","富国全球科技互联网(QDII)","2020-12-03","2.4857","0.51","-1.42","1.67","28.54","60.12","75.37","67.16","49.09","148.57",""
