"Symbol","Name","LastSale","MarketCap","IPOyear","Sector","industry","Summary Quote",
"VCVCU","10X Capital Venture Acquisition Corp","10.04","n/a","2020","Finance","Business Services","https://old.nasdaq.com/symbol/vcvcu",
"TXG","10x Genomics, Inc.","140.84","$15.16B","2019","Capital Goods","Biotechnology: Laboratory Analytical Instruments","https://old.nasdaq.com/symbol/txg",
"YI","111, Inc.","6.75","$555.93M","2018","Health Care","Medical/Nursing Services","https://old.nasdaq.com/symbol/yi",
"PIH","1347 Property Insurance Holdings, Inc.","3.17","$15.71M","2014","Finance","Property-Casualty Insurers","https://old.nasdaq.com/symbol/pih",
"PIHPP","1347 Property Insurance Holdings, Inc.","24.7","n/a","n/a","Finance","Property-Casualty Insurers","https://old.nasdaq.com/symbol/pihpp",
"TURN","180 Degree Capital Corp.","2.06","$64.11M","n/a","Finance","Finance/Investors Services","https://old.nasdaq.com/symbol/turn",
"ATNF","180 Life Sciences Corp.","2.78","$67.83M","2017","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/atnf",
"ATNFW","180 Life Sciences Corp.","0.19","n/a","2017","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/atnfw",
"FLWS","1-800-FLOWERS.COM, Inc.","23.65","$1.53B","1999","Consumer Services","Other Specialty Stores","https://old.nasdaq.com/symbol/flws",
"BCOW","1895 Bancorp of Wisconsin, Inc.","9.99","$47.65M","2019","Finance","Banks","https://old.nasdaq.com/symbol/bcow",
"ONEM","1Life Healthcare, Inc.","32.49","$4.32B","2020","Health Care","Medical/Nursing Services","https://old.nasdaq.com/symbol/onem",
"FCCY","1st Constitution Bancorp (NJ)","16.75","$171.48M","n/a","Finance","Savings Institutions","https://old.nasdaq.com/symbol/fccy",
"SRCE","1st Source Corporation","39.75","$1.02B","n/a","Finance","Major Banks","https://old.nasdaq.com/symbol/srce",
"VNET","21Vianet Group, Inc.","29.96","$3.98B","2011","Technology","Computer Software: Programming, Data Processing","https://old.nasdaq.com/symbol/vnet",
"TWOU","2U, Inc.","33.25","$2.4B","2014","Technology","Computer Software: Prepackaged Software","https://old.nasdaq.com/symbol/twou",
"QFIN","360 DigiTech, Inc.","13.66","$2B","2018","Finance","Finance: Consumer Services","https://old.nasdaq.com/symbol/qfin",
"KRKR","36Kr Holdings Inc.","3.45","$129.36M","2019","Miscellaneous","Business Services","https://old.nasdaq.com/symbol/krkr",
"FVAM","5:01 Acquisition Corp.","10.05","$109.76M","2020","Finance","Business Services","https://old.nasdaq.com/symbol/fvam",
"JOBS","51job, Inc.","71.72","$4.83B","2004","Technology","Diversified Commercial Services","https://old.nasdaq.com/symbol/jobs",
"ETNB","89bio, Inc.","27.04","$537.52M","2019","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/etnb",
"EGHT","8x8 Inc","20.3","$2.16B","n/a","Technology","EDP Services","https://old.nasdaq.com/symbol/eght",
"NMTR","9 Meters Biopharma, Inc.","1.09","$163.85M","2018","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/nmtr",
"JFU","9F Inc.","1.76","$343.54M","2019","Finance","Finance: Consumer Services","https://old.nasdaq.com/symbol/jfu",
"AAON","AAON, Inc.","65.87","$3.44B","n/a","Capital Goods","Industrial Machinery/Components","https://old.nasdaq.com/symbol/aaon",
"ABCM","Abcam plc","18.48","$4.19B","2020","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","https://old.nasdaq.com/symbol/abcm",
