净值日期,单位净值,累计净值,日增长率,申购状态,赎回状态,分红送配
2016-06-28,1.0,1.0,,封闭期,封闭期,nan
2016-06-30,0.992,0.992,,封闭期,封闭期,nan
2016-07-01,0.994,0.994,0.2,封闭期,封闭期,nan
2016-07-08,1.0,1.0,,封闭期,封闭期,nan
2016-07-15,0.999,0.999,,封闭期,封闭期,nan
2016-07-22,0.988,0.988,,封闭期,封闭期,nan
2016-07-27,0.988,0.988,,封闭期,封闭期,nan
2016-07-28,0.98,0.98,-0.81,开放申购,开放赎回,nan
2016-07-29,0.979,0.979,-0.1,开放申购,开放赎回,nan
2016-08-01,0.974,0.974,-0.51,开放申购,开放赎回,nan
2016-08-02,0.974,0.974,0.0,开放申购,开放赎回,nan
2016-08-03,0.974,0.974,0.0,开放申购,开放赎回,nan
2016-08-04,0.975,0.975,0.1,开放申购,开放赎回,nan
2016-08-05,0.973,0.973,-0.21,开放申购,开放赎回,nan
2016-08-08,0.975,0.975,0.21,开放申购,开放赎回,nan
2016-08-09,0.977,0.977,0.21,开放申购,开放赎回,nan
2016-08-10,0.977,0.977,0.0,开放申购,开放赎回,nan
2016-08-11,0.974,0.974,-0.31,开放申购,开放赎回,nan
2016-08-12,0.976,0.976,0.21,开放申购,开放赎回,nan
2016-08-15,0.98,0.98,0.41,开放申购,开放赎回,nan
2016-08-16,0.981,0.981,0.1,开放申购,开放赎回,nan
2016-08-17,0.985,0.985,0.41,开放申购,开放赎回,nan
2016-08-18,0.988,0.988,0.3,开放申购,开放赎回,nan
2016-08-19,0.988,0.988,0.0,开放申购,开放赎回,nan
2016-08-22,0.986,0.986,-0.2,开放申购,开放赎回,nan
2016-08-23,0.986,0.986,0.0,开放申购,开放赎回,nan
2016-08-24,0.986,0.986,0.0,开放申购,开放赎回,nan
2016-08-25,0.985,0.985,-0.1,开放申购,开放赎回,nan
2016-08-26,0.985,0.985,0.0,开放申购,开放赎回,nan
2016-08-29,0.986,0.986,0.1,开放申购,开放赎回,nan
2016-08-30,0.987,0.987,0.1,开放申购,开放赎回,nan
2016-08-31,0.987,0.987,0.0,开放申购,开放赎回,nan
2016-09-01,0.986,0.986,-0.1,开放申购,开放赎回,nan
2016-09-02,0.984,0.984,-0.2,开放申购,开放赎回,nan
2016-09-05,0.985,0.985,0.1,开放申购,开放赎回,nan
2016-09-06,0.988,0.988,0.3,开放申购,开放赎回,nan
2016-09-07,0.988,0.988,0.0,开放申购,开放赎回,nan
2016-09-08,0.988,0.988,0.0,开放申购,开放赎回,nan
2016-09-09,0.987,0.987,-0.1,开放申购,开放赎回,nan
2016-09-12,0.982,0.982,-0.51,开放申购,开放赎回,nan
2016-09-13,0.983,0.983,0.1,开放申购,开放赎回,nan
2016-09-14,0.982,0.982,-0.1,开放申购,开放赎回,nan
2016-09-19,0.984,0.984,0.2,开放申购,开放赎回,nan
2016-09-20,0.986,0.986,0.2,开放申购,开放赎回,nan
2016-09-21,0.985,0.985,-0.1,开放申购,开放赎回,nan
2016-09-22,0.986,0.986,0.1,开放申购,开放赎回,nan
2016-09-23,0.985,0.985,-0.1,开放申购,开放赎回,nan
