"编号","名称","日期","净值","名称","recent1Week","recent3Month","recent6Month","recent1Year","recent2Year","recent3Year","fromThisYear","fromBuild","serviceCharge"
"920923","中金新锐股票C","2020-12-04","2.8995","-0.01","3.51","8.84","28.66","","","","","38.63",""
"920922","中金精选股票C","2020-12-04","2.1879","0.77","0.44","8.18","","","","","","13.16",""
"920003","中金新锐股票A","2020-12-04","2.9088","0.00","3.52","8.98","28.98","","","","","39.72",""
"900030","中信证券量化优选C","2020-12-04","1.1601","0.79","2.62","3.21","29.04","","","","","34.71",""
"900029","中信证券量化优选A","2020-12-04","1.1649","0.80","2.63","3.42","29.56","","","","","35.26",""
"740101","长安沪深300非周期","2020-12-04","1.6220","0.81","2.53","4.24","31.23","47.59","81.43","43.79","39.95","148.97",""
"700002","平安深证300指数增强","2020-12-04","2.5720","0.47","2.76","5.02","31.63","55.69","103.80","47.39","45.97","177.06",""
"690008","民生中证内地资源主题指数","2020-12-04","0.7370","1.66","0.00","14.62","31.37","24.07","20.82","-8.79","13.73","-26.30",""
"673101","西部利得沪深300指数增强C","2020-12-04","1.9961","0.41","2.10","9.77","38.35","60.79","","","50.46","115.77",""
"673100","西部利得沪深300指数增强A","2020-12-04","2.0064","0.41","2.11","9.87","38.64","61.47","101.04","82.94","51.02","122.53",""
"673090","西部利得个股精选股票","2020-12-04","1.6671","0.23","1.73","8.44","33.72","43.49","93.87","61.91","35.27","86.73",""
"671030","西部利得事件驱动股票","2020-12-04","1.7958","1.62","3.15","6.69","28.57","35.74","78.24","","27.45","79.58",""
"660011","农银中证500指数","2020-12-04","1.6168","0.38","1.70","-2.94","14.51","28.72","39.10","1.76","20.86","61.68",""
"660008","农银沪深300指数A","2020-12-04","1.7788","0.16","1.63","5.97","28.54","33.18","59.25","33.41","25.59","77.88",""
"590007","中邮中证500指数增强A","2020-12-04","1.3440","0.64","2.31","-0.88","20.45","41.18","55.56","20.32","33.29","100.09",""
"585001","东吴中证新兴指数","2020-12-04","1.6758","0.53","2.46","5.58","32.44","55.45","76.96","32.68","44.72","67.58",""
"540012","汇丰晋信恒生龙头指数A","2020-12-04","2.0694","0.59","1.50","11.52","32.77","36.22","72.05","49.93","30.08","195.52",""
"540010","汇丰晋信科技先锋股票","2020-12-04","3.2382","0.30","3.93","-5.44","16.45","52.85","120.21","56.06","42.81","223.82",""
"540009","汇丰晋信消费红利股票","2020-12-04","1.3964","0.57","1.79","9.38","44.25","72.10","111.62","84.63","60.62","146.48",""
"540008","汇丰晋信低碳先锋股票","2020-12-04","2.5348","2.62","2.28","24.49","55.26","121.92","152.17","63.61","88.63","176.42",""
"540007","汇丰晋信中小盘股票","2020-12-04","2.0960","0.75","2.17","5.09","27.29","65.13","119.91","72.82","51.47","113.44",""
"540006","汇丰晋信大盘股票A","2020-12-04","5.1088","0.04","1.04","8.88","33.32","45.79","80.80","55.98","36.29","441.25",""
"530018","建信深证100指数增强","2020-12-04","2.5904","0.48","2.74","5.07","33.48","52.12","90.92","45.55","42.86","159.04",""
"530015","建信深证基本面60ETF联接A","2020-12-04","2.9343","-0.40","0.51","12.18","32.11","35.92","79.71","52.48","26.08","193.43",""
"530010","建信上证社会责任ETF联接","2020-12-04","2.6147","-0.26","0.93","9.73","31.27","32.07","55.30","41.12","25.16","161.47",""
"519975","长信量化中小盘股票","2020-12-04","1.2700","0.55","1.93","-6.00","22.82","59.75","86.49","37.15","49.41","74.34",""
"519965","长信量化多策略股票A","2020-12-04","1.7750","0.51","1.66","3.92","31.68","50.68","80.02","43.03","41.21","77.50",""
"519935","长信创新驱动股票","2020-12-04","1.7410","0.58","3.75","-3.12","11.17","43.06","71.87","51.79","37.63","74.10",""
"519714","交银消费新驱动股票","2020-12-04","1.8680","1.80","2.98","13.21","56.97","99.79","142.03","125.99","89.07","476.27",""
"519706","交银深证300价值ETF联接","2020-12-04","2.3080","-0.39","1.18","8.41","25.85","29.08","67.85","33.41","20.08","130.80",""
"519686","交银上证180公司治理联接","2020-12-04","1.6490","-0.30","0.61","10.23","31.29","28.03","41.55","23.89","21.61","64.90",""
"519677","银河定投宝腾讯济安指数","2020-12-04","2.3680","0.59","1.81","2.82","35.47","54.67","70.11","34.85","45.63","136.80",""
"519673","银河康乐股票","2020-12-04","3.1850","1.40","3.27","0.60","33.32","78.43","153.58","127.66","70.41","218.50",""
"519671","银河沪深300价值指数","2020-12-04","1.6690","-0.83","-0.30","9.87","23.54","17.21","31.93","21.55","11.34","93.14",""
"519606","国泰金鑫股票","2020-12-04","2.5840","1.02","2.46","1.69","31.50","68.01","126.27","31.57","56.80","158.40",""
"519300","大成沪深300指数A","2020-12-04","1.3507","0.03","1.64","5.95","29.90","35.90","58.77","31.40","27.89","309.56",""
