"code","name","day","unitNetWorth","dayOfGrowth","recent1Week","recent3Month","recent6Month","recent1Year","recent2Year","recent3Year","fromThisYear","fromBuild","serviceCharge"
"920923","中金新锐股票C",,"2.8851","0.42","1.23","7.44","25.76","","","","","37.94",""
"920922","中金精选股票C",,"2.1769","-0.68","1.88","8.30","","","","","","12.59",""
"920003","中金新锐股票A",,"2.8949","0.42","1.25","7.57","26.07","","","","","39.05",""
"900030","中信证券量化优选C",,"1.1828","-0.54","2.88","7.08","28.19","","","","","37.34",""
"900029","中信证券量化优选A",,"1.1881","-0.54","2.89","7.29","28.69","","","","","37.96",""
"740101","长安沪深300非周期",,"1.6260","-0.18","2.65","7.68","26.93","41.88","89.95","43.26","40.29","149.58",""
"700002","平安深证300指数增强",,"2.5690","-0.16","2.64","7.71","26.80","47.39","110.92","48.07","45.80","176.74",""
"690008","民生中证内地资源主题指数",,"0.7480","2.61","5.35","14.72","31.23","21.82","25.50","-5.56","15.43","-25.20",""
"673101","西部利得沪深300指数增强C",,"2.0003","-0.14","2.81","10.19","34.62","53.30","","","50.77","116.23",""
"673100","西部利得沪深300指数增强A",,"2.0109","-0.15","2.81","10.30","34.90","53.93","109.58","82.81","51.35","123.03",""
"673090","西部利得个股精选股票",,"1.6592","-0.14","2.24","6.54","31.14","36.67","99.98","62.51","34.63","85.85",""
"671030","西部利得事件驱动股票",,"1.8813","-0.36","4.43","12.64","30.48","36.19","86.84","","33.52","88.13",""
"660011","农银中证500指数",,"1.5802","-0.27","1.28","-3.00","9.08","18.79","42.41","0.88","18.13","58.02",""
"660008","农银沪深300指数A",,"1.7557","-0.32","2.13","5.20","24.85","25.83","63.82","33.02","23.96","75.57",""
"590007","中邮中证500指数增强A",,"1.2993","-0.63","1.18","-1.84","14.55","30.45","56.73","16.84","28.86","93.44",""
"585001","东吴中证新兴指数",,"1.6577","0.30","2.32","6.71","25.60","44.78","83.17","32.83","43.15","65.77",""
"540012","汇丰晋信恒生龙头指数A",,"2.0688","-0.28","2.78","11.04","31.44","31.72","75.94","49.98","30.04","195.43",""
"540010","汇丰晋信科技先锋股票",,"3.1468","-0.69","0.32","-5.39","6.22","35.60","128.19","54.51","38.78","214.68",""
