"code","name","day","unitNetWorth","dayOfGrowth","recent1Week","recent3Month","recent6Month","recent1Year","recent2Year","recent3Year","fromThisYear","fromBuild","serviceCharge"
"970010","方正证券金立方一年持有期混合C",,"1.0412","-0.04","2.13","4.13","","","","","","4.12",""
"970008","华安证券汇赢增利一年持有混合C",,"1.0084","0.07","-0.12","-0.31","","","","","","0.84",""
"970007","华安证券汇赢增利一年持有混合B",,"1.0050","0.06","-0.14","-0.51","","","","","","0.50",""
"959991","兴证资管金麒麟领先优势一年持有混合A",,"1.4655","0.07","2.48","13.59","35.08","","","","","39.15",""
"952099","君得鑫两年持有期混合C",,"2.3861","-1.05","2.18","8.17","23.46","","","","","39.44",""
"952035","国泰君安君得诚混合",,"1.4475","-1.21","2.42","5.72","17.79","","","","","40.55",""
"952013","国君君得益三个月(FOF)A",,"1.4284","0.56","1.33","","","","","","","2.00",""
"952009","君得鑫两年持有期混合A",,"2.3728","-1.05","2.17","8.00","23.05","","","","","38.66",""
"952004","国泰君安君得明混合",,"2.7213","-1.09","1.89","6.71","22.77","39.20","","","37.49","47.90",""
"920926","中金汇越量化3个月定开混合C",,"1.0395","","-0.77","-3.79","","","","","","-3.79",""
"920921","中金安心回报灵活配置混合C",,"1.3478","-0.10","1.72","4.57","8.52","","","","","9.91",""
"920012","中金汇越量化3个月定开混合A",,"1.0408","","-0.76","-3.67","","","","","","-3.67",""
"920011","中金安心回报灵活配置混合A",,"1.3511","-0.09","1.74","4.68","8.75","","","","","12.63",""
"910022","东方红启航三年持有混合A",,"4.7909","-0.46","1.35","","","","","","","2.97",""
"910007","东方红启元三年持有混合A",,"5.0041","-0.76","1.96","9.26","28.95","39.48","","","39.34","54.87",""
"900100","中信卓越成长两年持有混合C",,"1.9311","0.72","2.89","9.83","26.84","","","","","30.33",""
"900099","中信证券红利价值B",,"2.0704","-0.19","3.49","5.64","25.71","56.35","","","55.97","62.74",""
"900090","中信卓越成长两年持有混合B",,"1.9385","0.72","2.90","10.02","27.28","","","","","30.83",""
"900089","中信证券红利价值C",,"2.0515","-0.19","3.48","5.43","25.20","55.11","","","54.77","61.26",""
"900079","中信证券臻选价值成长混合C",,"1.5410","0.24","3.35","7.60","18.07","","","","","34.70",""
"900078","中信证券稳健回报混合C",,"1.2167","-0.04","2.20","2.05","","","","","","2.44",""
"900011","中信证券红利价值A",,"2.0605","-0.19","3.49","5.53","25.45","55.72","","","55.36","61.96",""
"900010","中信卓越成长两年持有混合A",,"1.9360","0.72","2.90","9.97","27.14","","","","","30.66",""
"900009","中信证券成长动力混合A",,"2.2512","0.11","2.79","","","","","","","2.46",""
"900008","中信证券稳健回报混合A",,"1.2187","-0.04","2.21","2.21","","","","","","2.61",""
"900003","中信证券臻选价值成长混合A",,"1.5471","0.25","3.37","7.82","18.53","","","","","35.24",""
"880007","招商资管智远成长灵活配置混合A",,"0.9953","-0.14","1.13","","","","","","","-0.47",""
"871003","广发资管价值增长灵活配置混合",,"1.4714","0.64","3.00","9.58","36.32","","","","","45.73",""
"870017","广发资管消费精选灵活配置混合",,"1.3826","-0.80","1.76","12.22","33.87","37.50","","","36.04","38.26",""
