"code","name","day","unitNetWorth","dayOfGrowth","recent1Week","recent3Month","recent6Month","recent1Year","recent2Year","recent3Year","fromThisYear","fromBuild","serviceCharge"
"539003","建信富时100指数(QDII)人民币A",,"0.7689","0.10","-0.95","7.72","0.56","-15.78","-5.31","-11.21","-16.24","-20.64",""
"539002","建信新兴市场混合(QDII)",,"0.9640","0.42","0.94","3.21","5.93","1.69","13.81","2.23","0.31","-3.60",""
"539001","建信全球机遇混合(QDII)",,"1.5510","0.52","1.04","2.17","4.73","1.37","18.58","9.77","0.26","55.10",""
"519981","长信标普100等权重指数",,"1.4330","0.42","0.07","10.40","14.64","9.81","29.84","26.42","9.47","130.86",""
"519696","交银环球精选混合(QDII)",,"2.4320","0.95","2.27","8.67","14.34","17.73","44.22","40.90","17.13","241.26",""
"519602","海富通大中华混合(QDII)",,"1.4280","1.42","3.63","-3.71","0.07","13.69","37.84","22.47","12.89","42.80",""
"519601","海富通中国海外混合",,"2.1960","1.39","3.63","-2.70","0.23","12.04","35.72","19.41","11.87","169.27",""
"501300","海富通全球收益债券人民币",,"1.0462","0.04","0.21","-1.90","-3.77","-3.17","4.84","7.00","-3.13","4.42",""
"501021","华宝香港中小(QDII-LOF)A",,"1.6378","0.36","3.89","2.65","10.06","8.16","35.20","19.94","7.18","63.78",""
"501018","南方原油A",,"0.5860","1.31","2.32","9.51","10.23","-49.99","-40.12","-41.61","-50.37","-41.40",""
"486002","工银全球精选股票(QDII)",,"2.8780","0.77","1.95","5.42","9.14","12.42","43.47","47.21","11.59","187.80",""
"486001","工银全球股票(QDII)",,"1.7130","1.06","1.78","5.22","12.92","22.80","57.43","54.15","22.09","183.62",""
"470888","汇添富香港混合(QDII)",,"1.2830","2.72","4.39","3.14","12.25","27.16","44.16","16.11","27.16","45.91",""
"460010","华泰柏瑞亚洲领导企业混合",,"1.5970","0.06","2.70","9.16","37.67","63.63","85.91","63.29","63.96","59.70",""
"457001","国富亚洲机会股票(QDII)",,"1.6460","0.98","2.87","10.62","29.10","50.87","90.51","65.86","48.29","78.51",""
"378546","上投摩根全球天然资源混合",,"0.6896","1.55","0.54","9.06","12.68","-5.14","6.26","1.26","-6.68","-31.04",""
"378006","上投摩根全球新兴市场混合",,"1.3460","1.20","1.69","15.64","26.86","21.70","45.51","22.14","20.83","34.60",""
"377016","上投摩根亚太优势混合",,"1.0620","1.14","1.43","13.83","25.83","23.92","51.28","34.26","23.78","6.20",""
"320017","诺安全球收益不动产",,"1.3940","1.31","1.53","2.80","-3.46","-10.30","-3.60","-8.17","-13.09","39.40",""
"320013","诺安全球黄金",,"1.0830","1.50","2.36","-6.48","-0.28","16.58","37.09","39.56","14.00","17.20",""
"270042","广发纳斯达克100指数A",,"3.6583","0.62","2.57","10.71","17.20","35.06","82.26","88.48","33.13","344.06",""
"270023","广发全球精选股票(QDII)",,"3.1160","2.10","4.85","16.18","53.80","90.23","123.53","96.89","86.81","313.73",""
"262001","景顺长城大中华混合(QDII)人民币",,"2.2370","1.18","3.90","9.34","23.08","53.61","88.18","77.34","52.65","187.83",""
"241001","华宝海外中国成长混合",,"1.9430","0.26","0.73","-8.65","-4.05","10.97","30.40","6.70","7.71","94.30",""
