"code","name","day","unitNetWorth","dayOfGrowth","recent1Week","recent3Month","recent6Month","recent1Year","recent2Year","recent3Year","fromThisYear","fromBuild","serviceCharge"
"980003","太平洋六个月滚动持有债",,"1.4259","0.01","0.15","0.98","1.91","","","","","2.05",""
"970005","安信瑞鸿中短债C",,"1.0278","0.04","0.11","0.14","0.45","","","","","0.46",""
"970004","安信瑞鸿中短债B",,"1.0295","0.04","0.10","0.20","0.60","","","","","0.63",""
"952024","国泰君安君得盛债券",,"1.1396","-0.18","0.50","1.14","2.39","2.95","","","2.65","3.52",""
"920927","中金恒瑞债券C",,"1.0665","0.03","0.11","0.40","1.05","","","","","1.32",""
"920007","中金恒瑞债券A",,"1.0663","0.04","0.13","0.50","1.22","","","","","1.19",""
"900039","中信证券六个月债券C",,"1.0354","0.02","0.12","0.14","0.15","2.42","","","2.22","3.54",""
"900019","中信证券六个月债券A",,"1.0330","0.02","0.11","0.08","0.01","2.19","","","1.98","3.33",""
"872017","广发资管昭利中短债C",,"1.0107","0.02","0.09","0.71","1.09","","","","","1.07",""
"872016","广发资管昭利中短债B",,"1.0120","0.01","0.09","0.77","1.21","","","","","1.20",""
"872015","广发资管昭利中短债A",,"1.0122","0.01","0.09","0.77","1.22","","","","","1.22",""
"872014","广发乾利一年持有期债券C",,"1.0406","0.03","0.21","0.46","1.39","3.30","","","3.09","3.52",""
"870008","广发乾利一年持有期债券A",,"1.0441","0.03","0.21","0.54","1.55","3.61","","","3.39","3.89",""
"860012","光大阳光稳债收益12个月持有债券A",,"1.0037","0.03","0.12","0.23","","","","","","0.37",""
"860005","光大阳光添利债券A",,"2.3407","0.05","0.75","2.06","4.42","6.95","","","6.82","6.96",""
"750003","安信目标收益债券C",,"1.0860","0.00","0.09","0.56","0.37","2.55","8.73","14.94","2.16","52.62",""
"750002","安信目标收益债券A",,"1.1010","0.00","0.18","0.73","0.64","2.99","9.64","16.29","2.51","58.15",""
"720003","财通收益增强债券A",,"1.2643","0.60","2.59","4.29","12.69","18.55","22.71","22.24","18.06","50.33",""
"720002","财通可转债债券A",,"1.0388","0.21","1.95","1.30","5.75","11.57","18.08","18.00","11.53","44.20",""
"710302","富安达增强收益债券C",,"1.3788","0.58","-0.41","-3.07","6.41","17.76","42.20","26.57","14.82","40.59",""
"710301","富安达增强收益债券A",,"1.4278","0.58","-0.40","-2.96","6.66","18.28","43.37","28.11","15.32","45.57",""
"700006","平安添利债券C",,"1.3172","0.02","0.12","0.55","0.22","2.29","7.17","13.64","2.05","55.81",""
