"code","name","day","unitNetWorth","dayOfGrowth","recent1Week","recent3Month","recent6Month","recent1Year","recent2Year","recent3Year","fromThisYear","fromBuild","serviceCharge"
"920923","中金新锐股票C",,"2.9488","1.23","-0.10","16.35","26.93","","","","","40.99",""
"920922","中金精选股票C",,"2.2178","1.16","1.89","14.17","","","","","","14.71",""
"920003","中金新锐股票A",,"2.9592","1.22","-0.09","16.49","27.25","","","","","42.14",""
"900030","中信证券量化优选C",,"1.2321","1.96","2.36","13.38","25.72","","","","","43.07",""
"900029","中信证券量化优选A",,"1.2380","1.97","2.37","13.61","26.22","","","","","43.75",""
"740101","长安沪深300非周期",,"1.6830","1.75","2.25","13.41","26.16","46.22","102.04","47.12","45.21","158.33",""
"700002","平安深证300指数增强",,"2.6610","1.68","1.88","13.09","25.22","51.88","126.85","51.02","51.02","186.65",""
"690008","民生中证内地资源主题指数",,"0.7520","1.90","2.45","23.48","32.63","16.41","33.33","-9.07","16.05","-24.80",""
"673101","西部利得沪深300指数增强C",,"2.0630","1.47","2.50","15.01","34.28","56.02","121.83","","55.50","123.00",""
"673100","西部利得沪深300指数增强A",,"2.0743","1.48","2.51","15.13","34.56","56.66","123.04","79.66","56.13","130.06",""
"673090","西部利得个股精选股票",,"1.7019","1.49","2.16","11.97","31.33","38.40","113.59","64.15","38.10","90.63",""
"671030","西部利得事件驱动股票",,"1.9679","1.38","1.52","21.38","31.76","39.77","95.44","","39.67","96.79",""
"660011","农银中证500指数",,"1.5754","1.10","-0.57","0.84","6.28","18.32","46.40","-0.15","17.77","57.54",""
"660008","农银沪深300指数A",,"1.7934","1.34","2.03","10.79","23.67","27.07","73.59","34.28","26.62","79.34",""
"590007","中邮中证500指数增强A",,"1.2984","1.95","0.02","0.43","10.74","29.28","60.30","15.31","28.77","93.30",""
"585001","东吴中证新兴指数",,"1.7151","1.57","1.57","13.21","24.35","48.88","97.82","36.88","48.11","71.51",""
"580008","东吴新产业精选股票",,"3.3843","1.69","-0.24","16.50","39.28","62.55","154.84","92.40","62.24","238.43",""
"540012","汇丰晋信恒生龙头指数A",,"2.1246","1.60","2.83","16.85","32.40","33.90","87.54","50.99","33.55","203.40",""
"540010","汇丰晋信科技先锋股票",,"3.2518","2.05","0.83","-0.60","-0.52","43.89","141.54","64.69","43.41","225.18",""
"540009","汇丰晋信消费红利股票",,"1.3838","1.20","-0.12","10.88","33.92","60.01","124.48","75.73","59.17","144.26",""
"540008","汇丰晋信低碳先锋股票",,"3.0726","2.97","1.74","47.79","65.67","131.04","233.51","103.08","128.65","235.07",""
"540007","汇丰晋信中小盘股票",,"2.2070","2.33","2.47","14.81","19.93","59.67","143.14","80.37","59.49","124.74",""
"540006","汇丰晋信大盘股票A",,"5.2470","1.43","2.31","13.41","32.17","40.06","100.06","58.84","39.98","455.89",""
"530018","建信深证100指数增强",,"2.6608","2.00","2.38","12.06","25.88","47.43","114.55","48.48","46.75","166.08",""
"530015","建信深证基本面60ETF联接A",,"2.8919","1.12","1.68","14.18","27.15","24.70","88.20","46.41","24.25","189.19",""
"530010","建信上证社会责任ETF联接",,"2.5430","0.84","1.00","8.43","25.44","21.76","64.28","37.54","21.73","154.30",""
"519975","长信量化中小盘股票",,"1.2250","1.07","-0.73","-3.31","7.08","44.97","93.22","32.72","44.12","68.17",""
"519965","长信量化多策略股票A",,"1.8620","1.80","3.22","12.37","26.75","48.72","101.30","49.32","48.13","86.20",""
"519935","长信创新驱动股票",,"1.8100","2.96","1.57","5.17","1.80","43.88","89.33","53.52","43.08","81.00",""
"519714","交银消费新驱动股票",,"1.9760","1.80","2.65","26.75","50.04","100.41","171.25","133.29","100.00","509.59",""
"519706","交银深证300价值ETF联接",,"2.2690","1.02","1.93","11.17","20.69","18.49","76.44","27.90","18.05","126.90",""
"519686","交银上证180公司治理联接",,"1.6070","0.75","1.52","9.39","26.24","18.77","48.11","21.10","18.51","60.70",""
"519677","银河定投宝腾讯济安指数",,"2.2680","0.76","-1.00","3.33","21.28","40.43","78.02","30.12","39.48","126.80",""
"519673","银河康乐股票",,"3.2740","0.96","1.74","6.51","23.08","76.50","178.64","129.11","75.17","227.40",""
