"code","name","day","unitNetWorth","dayOfGrowth","recent1Week","recent3Month","recent6Month","recent1Year","recent2Year","recent3Year","fromThisYear","fromBuild","serviceCharge"
"970010","方正证券金立方一年持有期混合C",,"1.0657","1.45","1.16","6.78","","","","","","6.57",""
"970008","华安证券汇赢增利一年持有混合C",,"1.0135","0.34","0.34","0.54","","","","","","1.35",""
"970007","华安证券汇赢增利一年持有混合B",,"1.0099","0.34","0.33","0.34","","","","","","0.99",""
"959993","兴证资管金麒麟领先优势一年持有混合C",,"1.5295","2.01","3.68","20.14","36.49","","","","","53.24",""
"959991","兴证资管金麒麟领先优势一年持有混合A",,"1.5295","2.01","3.68","20.14","36.49","","","","","45.22",""
"952099","君得鑫两年持有期混合C",,"2.3914","1.63","0.94","11.20","19.70","","","","","39.75",""
"952035","国泰君安君得诚混合",,"1.4650","1.38","1.14","9.60","12.03","","","","","42.25",""
"952013","国君君得益三个月(FOF)A",,"1.4447","-0.60","0.84","","","","","","","3.16",""
"952009","君得鑫两年持有期混合A",,"2.3776","1.63","0.93","11.02","19.31","","","","","38.94",""
"952004","国泰君安君得明混合",,"2.7197","1.65","0.68","9.31","18.52","38.15","","","37.41","47.81",""
"920928","中金进取回报混合C",,"","","","","","","","","","",""
"920926","中金汇越量化3个月定开混合C",,"1.0354","","-0.39","-4.15","","","","","","-4.17",""
"920921","中金安心回报灵活配置混合C",,"1.3807","0.71","1.84","8.87","9.85","","","","","12.59",""
"920012","中金汇越量化3个月定开混合A",,"1.0368","","-0.38","-4.02","","","","","","-4.04",""
"920011","中金安心回报灵活配置混合A",,"1.3842","0.71","1.85","8.98","10.08","","","","","15.39",""
"920008","中金进取回报混合A",,"1.3191","0.96","","","","","","","","1.79",""
"910022","东方红启航三年持有混合A",,"5.1045","3.01","2.56","","","","","","","9.71",""
"910017","东方红多元策略混合A",,"","","","","","","","","","",""
"910007","东方红启元三年持有混合A",,"5.2579","2.17","3.37","16.91","28.49","46.73","","","46.41","62.73",""
"900100","中信卓越成长两年持有混合C",,"1.9724","0.79","1.37","15.47","25.38","","","","","33.12",""
"900099","中信证券红利价值B",,"2.1445","1.80","2.28","10.14","22.18","61.87","","","61.56","68.57",""
"900090","中信卓越成长两年持有混合B",,"1.9805","0.79","1.39","15.68","25.82","","","","","33.66",""
"900089","中信证券红利价值C",,"2.1244","1.80","2.26","9.92","21.69","60.57","","","60.27","66.99",""
"900079","中信证券臻选价值成长混合C",,"1.6121","2.16","2.45","15.40","19.34","","","","","40.92",""
"900078","中信证券稳健回报混合C",,"1.2890","2.11","2.25","10.98","","","","","","8.53",""
"900011","中信证券红利价值A",,"2.1340","1.80","2.27","10.03","21.94","61.21","","","60.90","67.74",""
"900010","中信卓越成长两年持有混合A",,"1.9778","0.80","1.39","15.62","25.69","","","","","33.48",""
"900009","中信证券成长动力混合A",,"2.3373","1.98","1.70","","","","","","","6.38",""
"900008","中信证券稳健回报混合A",,"1.2915","2.11","2.27","11.18","","","","","","8.74",""
"900003","中信证券臻选价值成长混合A",,"1.6188","2.16","2.46","15.62","19.81","","","","","41.50",""
"880007","招商资管智远成长灵活配置混合A",,"0.9814","1.00","0.10","","","","","","","-1.86",""
"871003","广发资管价值增长灵活配置混合",,"1.5225","1.04","1.96","14.54","33.83","","","","","50.80",""
"870017","广发资管消费精选灵活配置混合",,"1.4121","1.25","1.47","17.85","33.78","38.97","","","38.95","41.21",""
"860053","光大阳光启明星创新驱动主题混合C",,"1.0498","2.08","1.93","7.57","","","","","","4.98",""
"860039","光大阳光智造混合C",,"1.2203","2.46","2.61","18.58","22.41","","","","","22.41",""
"860016","光大阳光启明星创新驱动主题混合A",,"1.7771","2.07","1.96","7.98","","","","","","4.80",""
"860007","光大阳光价值30个月混合A",,"2.7722","1.62","2.64","17.65","29.42","","","","","50.50",""
"860006","光大阳光优选一年持有混合A",,"2.8253","0.89","1.92","","","","","","","3.26",""
"860001","光大阳光混合A",,"3.8504","1.88","1.74","8.10","18.78","","","","","22.58",""
"850599","海通核心优势一年持有混合C",,"1.1721","0.85","2.13","8.75","16.87","","","","","17.21",""
"850588","海通核心优势一年持有混合A",,"1.1757","0.85","2.14","8.88","17.15","","","","","17.57",""
"850005","海通核心优势一年持有混合B",,"1.1757","0.85","2.15","8.88","17.16","","","","","17.57",""
"770001","德邦优化混合",,"1.4997","2.51","2.22","9.34","22.66","45.58","106.38","64.45","44.49","189.19",""
"762001","国金国鑫发起A",,"1.8315","2.01","2.70","11.38","22.55","43.31","113.52","43.85","42.13","379.99",""
"750005","安信平稳增长混合发起A",,"1.3756","0.20","-0.04","1.05","3.55","6.26","18.21","18.45","6.23","96.88",""
"750001","安信灵活配置混合",,"2.3420","1.91","1.96","18.10","39.24","69.71","160.80","109.67","68.01","277.53",""
"740001","长安宏观策略混合",,"1.3960","2.87","1.75","17.21","26.33","23.76","39.04","-0.64","24.09","128.48",""
"730002","方正富邦红利精选混合A",,"1.8567","1.03","3.45","23.25","51.82","60.53","84.56","46.31","60.23","135.35",""
"730001","方正富邦创新动力混合A",,"1.5042","2.40","2.09","-3.01","0.48","15.30","60.19","23.50","13.99","132.95",""
"720001","财通价值动量混合",,"3.6350","0.53","2.95","8.25","8.48","50.46","154.37","101.05","48.79","381.62",""
"710002","富安达策略精选混合",,"3.7690","2.07","1.58","11.32","12.16","39.79","79.64","49.79","39.19","290.61",""
"710001","富安达优势成长混合",,"2.9778","1.56","1.54","7.60","6.49","30.65","97.44","32.61","30.08","197.78",""
"700004","平安灵活配置混合",,"1.8562","1.39","0.77","7.81","22.30","45.41","84.40","81.27","44.49","131.47",""
"700003","平安策略先锋混合",,"3.6520","2.38","1.50","19.89","28.41","64.13","186.88","99.78","63.62","299.59",""
"700001","平安行业先锋混合",,"2.1030","1.35","0.77","10.68","32.10","60.29","122.30","79.74","58.96","169.25",""
"690011","民生加银积极成长混合发起式",,"2.8630","3.02","2.14","17.82","42.15","67.13","146.17","106.42","65.49","186.30",""
"690009","民生加银红利回报混合",,"3.4160","1.36","1.82","16.75","36.42","60.68","120.96","80.55","59.55","327.66",""
