"code","name","day","unitNetWorth","dayOfGrowth","recent1Week","recent3Month","recent6Month","recent1Year","recent2Year","recent3Year","fromThisYear","fromBuild","serviceCharge"
"980003","太平洋六个月滚动持有债",,"1.4234","-0.04","-0.21","0.75","1.74","","","","","1.88",""
"970005","安信瑞鸿中短债C",,"1.0305","0.03","0.14","0.29","0.68","","","","","0.72",""
"970004","安信瑞鸿中短债B",,"1.0324","0.03","0.15","0.37","0.84","","","","","0.91",""
"952024","国泰君安君得盛债券",,"1.1402","0.61","0.11","1.50","1.99","2.78","","","2.70","3.58",""
"920927","中金恒瑞债券C",,"1.0407","0.21","0.11","0.79","1.07","","","","","1.73",""
"920007","中金恒瑞债券A",,"1.0406","0.21","0.12","0.88","1.27","","","","","1.60",""
"900039","中信证券六个月债券C",,"1.0388","0.04","0.16","0.39","0.47","2.57","","","2.56","3.88",""
"900019","中信证券六个月债券A",,"1.0363","0.05","0.16","0.32","0.34","2.32","","","2.31","3.66",""
"872017","广发资管昭利中短债C",,"1.0122","0.01","0.09","0.77","1.21","","","","","1.22",""
"872016","广发资管昭利中短债B",,"1.0137","0.02","0.10","0.84","1.34","","","","","1.37",""
"872015","广发资管昭利中短债A",,"1.0138","0.02","0.10","0.83","1.34","","","","","1.38",""
"872014","广发乾利一年持有期债券C",,"1.0438","0.15","0.19","0.80","1.57","3.42","","","3.41","3.84",""
"870008","广发乾利一年持有期债券A",,"1.0474","0.15","0.19","0.88","1.72","3.73","","","3.71","4.22",""
"860012","光大阳光稳债收益12个月持有债券A",,"1.0053","0.07","0.17","0.32","","","","","","0.53",""
"860005","光大阳光添利债券A",,"2.3438","0.43","0.48","3.32","4.03","6.97","","","6.96","7.11",""
"750003","安信目标收益债券C",,"1.0880","-0.09","0.09","0.65","0.74","2.45","8.64","15.25","2.35","52.90",""
"750002","安信目标收益债券A",,"1.1030","-0.09","0.09","0.82","0.91","2.89","9.45","16.61","2.70","58.43",""
"720003","财通收益增强债券A",,"1.3259","3.15","2.66","9.75","15.40","23.90","29.33","27.67","23.81","57.66",""
"720002","财通可转债债券A",,"1.0683","1.22","1.84","4.14","7.87","14.88","21.32","20.85","14.70","48.29",""
"710302","富安达增强收益债券C",,"1.3849","1.17","-1.14","-0.89","4.69","16.21","46.07","28.03","15.33","41.21",""
"710301","富安达增强收益债券A",,"1.4343","1.17","-1.13","-0.79","4.92","16.73","47.27","29.60","15.85","46.24",""
"700006","平安添利债券C",,"1.1228","0.03","0.12","0.71","0.73","2.37","7.17","13.98","2.35","56.26",""
